205 0.343968 -1 -1
206 0.228241 0.140451 0.241930 205
207 0.168597 0.117893 0.109092 205
208 0.197721 0.128718 0.131231 205
209 0.254152 0.094355 0.135841 205
210 0.774959 0.102597 0.090794 205
211 0.130533 0.168597 0.165524 210,206
212 0.145759 0.177397 0.210710 210,207
213 0.087581 0.102038 0.109232 208,210
214 0.318336 0.086603 0.090724 209,210
215 0.470870 0.134374 0.149948 205
216 0.182356 0.113772 0.106577 215,206
217 0.128718 0.219931 0.213016 215,207
218 0.146318 0.091143 0.071238 208,215
219 0.131021 0.095822 0.101269 209,215
220 0.252616 0.153301 0.137378 205
221 0.150020 0.101409 0.078362 220,206
222 0.125715 0.094774 0.077943 207,220
223 0.125155 0.082483 0.080457 208,220
224 0.129835 0.094356 0.076895 209,220
225 0.275175 0.182984 0.170692 205
226 0.116146 0.084578 0.092260 225,206
227 0.074800 0.075358 0.087651 225,207
228 0.089536 0.087162 0.089187 208,225
229 0.205193 0.050286 0.044069 209,225
230 0.132629 -1 -1 211
231 0.195137 0.135841 0.236273 212,230
232 0.226356 0.084648 0.103016 230,213
233 0.484210 0.078921 0.100013 214,230
234 0.400191 0.094845 0.087721 216,230
235 0.145898 0.089118 0.085067 234,217,231
236 0.084159 0.128718 0.148552 234,218,232
237 0.140451 0.086114 0.083041 234,219,233
238 0.404381 0.089677 0.091701 230,221
239 0.127670 0.100921 0.084019 238,231,222
240 0.127460 0.090724 0.081993 223,238,232
241 0.149599 0.082901 0.083530 224,238,233
242 0.172368 0.097219 0.080457 226,230
243 0.086114 0.098894 0.084089 227,231,242
244 0.129765 0.081505 0.069772 228,232,242
245 0.181656 0.039460 0.040997 242,229,233
246 0.155676 -1 -1 235
247 0.471987 0.131721 0.235435 236,246
248 0.160984 0.074800 0.108114 246,237
249 0.233759 0.075918 0.092330 246,239
250 0.107207 0.085137 0.079828 247,249,240
251 0.172787 0.125714 0.136889 241,249,248
252 0.339359 0.076406 0.076406 246,243
253 0.076267 0.100501 0.096381 252,244,247
254 0.079410 0.040508 0.042533 252,245,248
255 0.250870 -1 -1 250
256 0.157003 0.136400 0.228102 251,255
257 0.750724 0.031219 0.038902 253,255
258 0.140381 0.070749 0.077943 256,257,254
259 0.173556 -1 -1 258
