205 6.935096 -1 -1 
206 10.120207 1.032533 2.080152 205
207 9.972911 0.823150 1.792755 205
208 9.943298 0.155117 0.152393 205
209 9.999172 0.845428 1.788983 205
210 11.949069 0.614812 1.262381 205
211 11.808758 0.240045 0.422819 210,206
212 11.874269 0.209523 0.398723 210,207
213 14.572447 0.837396 0.468915 208,210
214 11.854715 0.255270 0.462558 209,210
215 11.851641 0.599168 1.209581 205
216 11.830409 0.719016 0.469613 215,206
217 11.989996 0.269937 0.393695 215,207
218 11.985108 0.264978 0.458229 208,215
219 12.016047 0.268610 0.462698 209,215
220 11.908631 0.574863 1.210000 205
221 11.853387 0.258762 0.479809 220,206
222 11.981895 0.274826 0.472685 207,220
223 11.859603 0.250171 0.473104 208,220
224 11.943412 0.260997 0.470101 209,220
225 11.922110 0.575072 1.212095 205
226 11.789482 0.258971 0.446355 225,206
227 12.224314 0.246680 0.461581 225,207
228 11.917641 0.265048 0.456762 208,225
229 11.669215 0.269028 0.474571 209,225
230 7.033852 -1 -1 211
231 9.870943 0.947397 1.830260 212,230
232 9.668195 0.822032 1.727034 230,213
233 9.739991 0.808762 1.687574 214,230
234 11.810505 0.618374 1.252532 216,230
235 11.880555 0.221606 0.412204 234,217,231
236 11.791298 0.145899 0.125714 234,218,232
237 11.868542 0.260369 0.479879 234,219,233
238 11.921552 0.596514 1.192050 230,221
239 11.806104 0.251498 0.481486 238,231,222
240 11.784383 0.264559 0.470310 223,238,232
241 11.702390 0.258832 0.477784 224,238,233
242 12.006479 0.586038 1.216565 226,230
243 11.894663 0.275384 0.480577 227,231,242
244 11.793464 0.255340 0.480018 228,232,242
245 11.683812 0.272730 0.479530 242,229,233
246 6.975953 -1 -1 235
247 9.804036 0.945860 1.830609 236,246
248 9.813673 0.816165 1.744075 246,237
249 11.483857 0.612718 1.246946 246,239
250 11.525413 0.233130 0.447613 247,249,240
251 11.382448 0.131022 0.125155 241,249,248
252 11.738428 0.600704 1.228577 246,243
253 11.917082 0.253454 0.470591 252,244,247
254 11.912193 0.254152 0.467936 252,245,248
255 6.846258 -1 -1 250
256 9.327718 0.956127 1.841644 251,255
257 11.318752 0.608946 1.248621 253,255
258 11.050073 0.371206 0.548184 256,257,254
259 6.818811 -1 -1 258
