205 1.566679 -1 -1
206 1.283542 0.338870 0.643028 205
207 1.172844 0.170342 0.482324 205
208 1.198266 0.140451 0.144642 205
209 2.130158 0.190108 0.467168 205
210 2.467911 0.112724 0.219441 205
211 1.539860 0.191225 0.174324 210,206
212 1.511993 0.180959 0.173834 210,207
213 1.760069 0.102457 0.099454 208,210
214 1.110685 0.087092 0.087651 209,210
215 2.428241 0.125645 0.207568 205
216 1.145885 0.130114 0.132279 215,206
217 1.748266 0.195415 0.224889 215,207
218 1.535529 0.094286 0.088629 208,215
219 1.529523 0.087651 0.096031 209,215
220 1.399269 0.149251 0.181029 205
221 1.080305 0.095542 0.088000 220,206
222 1.163765 0.088210 0.076826 207,220
223 1.119695 0.090235 0.077943 208,220
224 1.167606 0.087092 0.079968 209,220
225 1.410374 0.162102 0.193321 205
226 1.093854 0.080457 0.075848 225,206
227 1.099930 0.076896 0.091143 225,207
228 1.108171 0.088210 0.099384 208,225
229 1.552431 0.044070 0.051752 209,225
230 1.531409 -1 -1 211
231 1.168304 0.327067 0.596863 212,230
232 1.203854 0.190178 0.463606 230,213
233 1.129054 0.133188 0.455155 214,230
234 2.711307 0.094775 0.240114 216,230
235 1.655447 0.085067 0.079969 234,217,231
236 1.082609 0.134445 0.130951 234,218,232
237 1.081910 0.078920 0.094356 234,219,233
238 2.303574 0.116356 0.195905 230,221
239 1.088196 0.098406 0.092819 238,231,222
240 1.101536 0.080457 0.089746 223,238,232
241 1.116692 0.078921 0.085556 224,238,233
242 2.473009 0.081994 0.182425 226,230
243 1.470089 0.087092 0.085067 227,231,242
244 1.479448 0.081015 0.088629 228,232,242
245 1.079536 0.050774 0.055384 242,229,233
246 1.457657 -1 -1 235
247 1.171377 0.322527 0.595047 236,246
248 2.048654 0.162521 0.476317 246,237
249 1.418825 0.121943 0.227054 246,239
250 1.060260 0.097359 0.083041 247,249,240
251 1.468063 0.121034 0.119010 241,249,248
252 1.404228 0.082972 0.191715 246,243
253 1.049225 0.112235 0.086044 252,244,247
254 1.051390 0.043022 0.057898 252,245,248
255 1.472393 -1 -1 250
256 1.135549 0.317428 0.590228 251,255
257 1.391378 0.081365 0.217136 253,255
258 1.439637 0.109650 0.145549 256,257,254
259 0.862399 -1 -1 258
