17245,17246
17246,13534
17248,17249
17249,13535
17251,17252
17252,13536
17254,17255
17255,13537
17247,13535 17244 17224 17225
17253,13537 17244 17227
17244,13534 17224
17257,17258
17258,13538
17250,13536 17244 17224 17226
17256,13538 17244 17228
17260,17261
17261,13539
17263,17264
17264,13540
17259,13539 17244 17229
17262,13540 17244 17230
17266,17267
17267,13541
17269,17270
17270,13542
17272,17273
17273,13543
17268,13542 17244 17232
17271,13543 17244 17233
17275,17276
17276,13544
17274,13544 17244 17234
17265,13541 17244 17231
17278,17279
17279,13545
17277,13545 17244 17235
17281,17282
17282,13546
17280,13546 17244 17236
17284,17285
17285,13547
17287,17288
17288,13548
17283,13547 17244 17237
17286,13548 17244 17238
17290,17291
17291,13549
17293,17294
17294,13550
17296,17297
17297,13551
17299,17300
17300,13552
17289,13549 17244 17239
17295,13551 17244 17241
17302,17303
17303,13553
17304,17305
17305,17244
17298,13552 17244 17242
17307,17308
17308,13934
17310,17311
17311,13935
17313,17314
17314,13936
17316,17317
17317,13937
17319,17320
17320,13938
17322,17323
17323,13939
17325,17326
17326,13940
17328,17329
17329,13941
17331,17332
17332,13942
17334,17335
17335,13943
17292,13550 17244 17240
17337,17338
17338,13944
17301,13553 17244 17243
17340,17341
17341,13945
17343,17344
17344,13946
17346,17347
17347,13947
17349,17350
17350,13948
17352,17353
17353,13949
17355,17356
17356,13950
17358,17359
17359,13951
17361,17362
17362,13952
17366,17367
17367,14295
17369,17370
17370,14296
17372,17373
17373,14297
17375,17376
17376,14298
17378,17379
17379,14299
17381,17382
17382,14300
17384,17385
17385,14301
17387,17388
17388,14302
17390,17391
17391,14303
17393,17394
17394,14304
17396,17397
17397,14305
17399,17400
17400,14306
17402,17403
17403,14307
17405,17406
17406,14308
17408,17409
17409,14309
17411,17412
17412,14310
17414,17415
17415,14311
17417,17418
17418,14312
17422,17423
17423,14619
17425,17426
17426,14620
17428,17429
17429,14621
17431,17432
17432,14622
17434,17435
17435,14623
17437,17438
17438,14624
17440,17441
17441,14625
17443,17444
17444,14626
17446,17447
17447,14627
17449,17450
17450,14628
17452,17453
17453,14629
17455,17456
17456,14630
17458,17459
17459,14631
17461,17462
17462,14632
17464,17465
17465,14633
17467,17468
17468,14634
17470,17471
17471,14635
17475,17476
17476,14908
17478,17479
17479,14909
17481,17482
17482,14910
17484,17485
17485,14911
17487,17488
17488,14912
17490,17491
17491,14913
17493,17494
17494,14914
17496,17497
17497,14915
17499,17500
17500,14916
17502,17503
17503,14917
17505,17506
