1767 6.764684 -1 -1 
1768 19.351823 1.517511 3.281631 
1769 17.968198 1.319999 19.678051 
1770 17.883829 1.289549 3.036139 
1771 17.771595 1.319999 2.977472 
1772 17.732972 1.349821 15.177341 
1773 17.882503 1.325099 2.926627 
1774 17.816084 1.345492 14.430249 
1775 17.699169 1.371752 0.112026 
1776 17.777950 1.308127 0.622775 
1780 13.356022 0.272171 0.772374 
1781 23.678697 0.425822 1.226133 
1782 23.684984 0.423169 0.937898 
1783 23.683167 0.584013 1.003129 
1784 23.598170 0.596234 1.082539 
1785 23.665568 0.575911 1.055581 
1786 23.650132 12.930897 1.061308 
1787 23.486146 0.596305 1.297091 
1788 24.002412 0.573676 1.040006 
1792 13.706974 0.470241 0.632134 
1793 23.835700 0.450616 0.224680 
1794 23.738692 0.409759 1.157269 
1795 24.039567 0.585200 1.035956 
1796 24.137345 0.582196 1.316158 
1797 23.574146 0.581289 1.061378 
1798 24.075954 0.567041 1.041263 
1799 23.823688 13.297215 1.291015 
1803 13.563030 0.380006 0.675714 
1804 23.290310 0.312400 0.295498 
1805 23.164875 0.365549 0.870572 
1806 23.885218 0.527022 1.314063 
1807 23.982228 0.575423 1.045943 
1808 23.624920 0.514590 1.047689 
1809 23.433835 0.527930 1.050692 
1813 13.498009 0.381961 0.668381 
1814 23.304837 0.333841 0.840959 
1815 23.916856 0.532749 1.071225 
1816 23.857840 0.555028 1.303517 
1817 23.807275 0.568438 1.289060 
1818 24.006881 0.566063 1.292412 
1822 13.433895 0.375956 0.572070 
1823 23.949472 0.546298 1.305612 
1824 23.855954 0.586038 1.323073 
1825 24.209001 0.515778 1.298278 
1826 23.887523 0.562642 1.106006 
1830 13.605354 0.379098 0.606990 1767
1831 23.927402 0.589530 1.064311 1830,1768
1832 23.711523 0.587924 0.926375 1830,1769
1833 23.660400 0.489029 13.655571 1830,1770
1837 13.425025 0.378539 0.584920 1774,1830
1838 24.173872 0.559778 0.909473 1775,1830
1839 23.780038 0.128089 0.134724 1830
1843 13.237780 0.237949 0.601333 1780,1833,1831
1844 23.695530 0.549581 0.099035 1781,1830,1831,1771
1848 13.448560 0.361499 0.596724 1838,1831,1785
1852 6.965966 -1 -1 1832,1833
1853 17.716629 1.221454 3.233789 1832,1830,1771
1854 17.659849 1.243314 0.113702 1832,1830,1772
1855 17.657194 1.297091 3.006596 1832,1792,1830,1773
1856 17.642249 1.212654 2.928863 1832,1793,1837
1857 17.698890 1.311968 2.923555 1832,1838,1794
1858 17.633239 1.342559 2.881371 
1859 17.727944 1.260774 2.932076 1832
1860 17.711601 1.316438 0.121873 1833,1797
1864 13.231564 0.283626 0.642470 1833,1837
1865 23.931593 0.579962 1.081352 1833,1838
1866 23.687638 0.453829 1.318044 
1867 24.142584 0.058178 1.315181 1833
1868 23.928939 0.563898 1.045104 1830,1771,1805
1869 23.752939 0.567669 1.296114 1806,1830,1771,1772
1870 24.154805 0.555308 1.305753 1807,1830,1771,1773
1871 23.795402 0.519689 1.305892 1830,1771,1837,1808
1875 13.227583 0.346902 0.684025 1830,1772
1876 23.647549 17.354921 1.069269 1830,1813,1773,1772
1877 23.763275 0.541200 1.080304 1814,1830,1837,1772
1878 23.698672 0.560826 1.046222 1815,1838,1830,1772
1879 23.911898 0.547346 1.300793 
1880 23.644894 0.575561 1.048596 1830,1772
1881 23.974825 0.562222 0.903257 1830,1818,1773
1885 13.285481 0.257644 0.663911 1830,1773
