1767 3.799084 -1 -1 
1768 12.796943 0.903047 2.022673 
1769 10.176150 0.703301 0.113073 
1770 10.256537 0.720831 1.772431 
1771 10.121463 0.736476 1.788914 
1772 10.260028 0.754704 1.826907 
1773 10.223083 0.649803 1.844088 
1774 10.173077 0.653575 0.103225 
1775 10.118181 0.681301 1.694837 
1776 10.216028 0.687099 1.717327 
1780 7.324601 0.134165 0.466121 
1781 12.174517 0.151765 0.311772 
1782 12.237653 0.170831 0.310096 
1783 12.152796 1.017727 0.441327 
1784 12.200776 1.184438 0.422260 
1785 12.339133 0.220838 0.428127 
1786 12.301838 0.224958 0.445378 
1787 12.375520 0.224469 0.409340 
1788 12.226828 0.216159 0.410946 
1792 7.626735 0.233898 0.329372 
1793 12.189951 0.243188 0.282229 
1794 12.167044 0.273289 0.249892 
1795 12.131844 1.354083 0.434343 
1796 12.405761 1.527918 0.411016 
1797 12.266079 0.058178 0.421422 
1798 12.281374 0.196603 0.407803 
1799 12.384390 0.185429 0.413530 
1803 7.906658 0.230196 0.455085 
1804 12.412955 0.298012 0.347461 
1805 12.019050 0.314914 0.425333 
1806 12.403177 14.383106 0.417651 
1807 12.331031 0.203447 0.418699 
1808 12.257348 0.214622 0.412204 
1809 12.375241 0.205473 0.418348 
1813 7.693502 0.236342 0.456272 
1814 12.240796 0.358356 0.336076 
1815 12.406320 0.222235 0.432946 
1816 12.309799 0.213156 0.423168 
1817 12.163692 0.194578 0.412413 
1818 12.340111 0.205822 0.414438 
1822 7.881724 0.205542 0.358146 
1823 12.212161 0.139543 0.435670 
1824 12.267825 0.240813 0.411785 
1825 12.247571 0.230127 0.419537 
1826 12.361762 0.168108 0.413810 
1830 7.857140 0.187943 0.350953 1767
1831 12.242193 0.165594 0.434133 1830,1768
1832 11.972047 0.184241 0.440558 1830,1769
1833 12.373285 0.231105 0.379797 1830,1770
1837 7.425941 0.163359 12.275437 1774,1830
1838 12.268803 0.100222 0.417092 1775,1830
1839 12.422872 0.169644 0.129066 1830
1843 7.341432 0.162241 0.275942 1780,1833,1831
1844 12.217819 0.169714 0.432946 1781,1830,1831,1771
1848 7.432645 0.181727 0.215600 1838,1831,1785
1852 3.795174 -1 -1 1832,1833
1853 10.149260 0.815885 1.948920 1832,1830,1771
1854 9.946581 0.657416 1.747288 1832,1830,1772
1855 10.025712 0.623403 1.744215 1832,1792,1830,1773
1856 10.055883 0.597492 1.742260 1832,1793,1837
1857 10.193749 0.678229 1.837104 1832,1838,1794
1858 10.177477 0.632553 13.464834 
1859 10.152613 0.723974 1.675910 1832
1860 10.112804 0.697365 1.658241 1833,1797
1864 7.287516 0.128996 0.262463 1833,1837
1865 12.312384 0.202679 0.110839 1833,1838
1866 12.231089 0.133047 0.419188 
1867 12.366580 0.231314 0.439231 1833
1868 12.448016 0.222095 0.425054 1830,1771,1805
1869 12.172212 0.209035 0.416184 1806,1830,1771,1772
1870 12.189393 0.210013 0.421003 1807,1830,1771,1773
1871 12.444243 0.214063 5.382176 1830,1771,1837,1808
1875 7.310842 0.217555 0.314006 1830,1772
1876 12.285355 0.142895 0.443003 1830,1813,1773,1772
1877 12.211044 0.161753 0.431829 1814,1830,1837,1772
1878 12.271875 0.229498 13.387589 1815,1838,1830,1772
1879 12.298694 0.202330 0.417720 
1880 12.267056 0.209105 0.417372 1830,1772
1881 12.413025 0.209384 0.416952 1830,1818,1773
1885 7.281090 0.130114 0.329232 1830,1773
1886 12.235000 0.089467 0.405219 1837,1823
1887 12.280606 0.170202 0.386153 1824,1838,1837
1888 12.308612 0.213574 0.415066 
1889 12.214327 0.184800 0.422610 1837
1890 12.209787 0.198210 12.643431 1838
1894 7.345903 0.178723 0.327695 1832,1831
1895 12.285285 0.176000 0.386153 1843,1831
1896 12.368816 0.217766 0.383149 1831,1844
1897 12.371260 0.203727 0.418139 1830,1831,1782,1772
1898 12.353171 0.205333 0.426171 1783,1830,1831,1773
1902 7.577147 0.134934 0.306952 1831
1903 12.111171 0.181169 0.440769 1894,1832,1788
1904 12.269990 0.204775 0.383638 1894,1895,1852
1905 12.340879 0.213993 0.413321 1894,1896,1853
1909 7.396468 0.124737 0.300038 1894,1831,1857,1848
1910 12.240098 0.202330 0.344597 
1911 12.413095 0.232641 0.419816 1894
1915 7.424544 0.110628 0.296337 1895,1830,1898,1773,1833
1916 12.168510 0.223981 0.422680 1895,1831,1784,1837,1864
1920 7.387807 0.112165 0.300737 1868,1896
1924 3.849370 -1 -1 1830,1831,1771,1848,1896,1838,1809
1925 10.133127 0.809530 1.822577 
1926 10.084239 0.665657 1.728781 1896
1927 10.209533 0.639187 1.690647 1875,1897
1928 10.162042 0.632273 1.660894 1876,1897,1898
1929 10.056232 0.681580 0.117194 1877,1897,1831,1784,1837
1930 10.226505 0.719575 1.711181 1831,1897,1878,1848
1931 10.202340 0.703091 1.617803 1897
1935 7.294360 0.102038 0.289422 1830,1831,1898,1773,1848,1838
1936 12.249317 0.194857 0.085136 
1937 12.349678 0.207987 0.416463 1898
1938 12.295691 0.226006 0.418559 1886,1831,1784,1837
1939 12.273691 13.178764 0.421632 1887,1831,1784,1837,1848
1940 12.270339 0.209035 0.419257 
1941 12.254905 0.208057 0.409828 1831,1784,1837
1945 7.420003 0.192623 0.351651 1903
1946 12.229482 0.200864 0.425752 1904,1945
1947 12.164529 0.184381 0.382032 1905,1945
1948 12.235628 0.206451 0.420025 1894,1897,1854,1945
1949 12.148397 0.214063 0.420514 1894,1898,1855,1945
1950 12.311057 0.200235 0.415067 1831,1837,1894,1784,1856,1945
1954 7.504373 0.126971 0.356959 1895,1946,1860
1955 12.315736 0.182285 0.094984 1833,1830,1798,1771,1946,1947,1895,1896
1956 12.320416 0.180330 0.389295 1833,1948,1799,1772,1946,1830,1895,1897
1957 12.433838 0.209943 0.412971 1915,1949,1946
1958 12.372307 0.190317 0.436508 1946,1950,1916
1962 7.433832 0.133886 0.349415 1920,1947
1963 11.975888 0.190946 0.387200 1869,1948,1897,1947,1896
1964 12.224314 0.175442 0.119778 1896,1949,1898,1947,1870
1965 12.354079 0.199257 0.441606 1831,1950,1871,1896,1784,1947,1837
1969 7.297643 0.122990 0.360102 1948,1927
1970 12.215234 0.153441 0.385035 1928,1948,1949
1971 12.423570 0.193530 0.407523 1929,1948,1950
1975 7.409877 0.112653 0.362267 1949,1898,1881
