206 8.012258 -1 -1 
207 19.734134 1.654540 3.084888 206
208 19.731968 14.108002 2.883396 206
209 19.887924 1.518837 2.915942 206
210 19.854261 1.524495 2.932075 206
213 13.233450 0.116984 0.775377 207
214 22.450191 0.692057 1.324539 208,207
215 22.406260 0.688704 1.310990 209,207
216 22.483784 0.665587 1.357784 210,207
219 13.261736 0.565365 0.155467 208
220 22.613478 0.614184 1.410305 209,208
221 22.418902 0.660209 1.459612 208,210
224 13.210612 0.482114 0.941041 209
225 22.193383 0.664191 12.641964 209,210
228 13.060593 0.474991 0.864216 210
231 8.254957 -1 -1 213
232 19.873397 1.630375 3.044171 214,231
233 19.804744 1.476304 2.885352 215,231
234 20.132717 1.479656 2.888704 216,231
237 12.749519 0.379447 0.782711 232,219
238 22.394107 0.519269 1.266291 220,232,233
239 22.237593 0.678647 1.424972 234,221,232
242 12.738415 0.160355 0.150298 224,233
243 22.084362 0.618095 1.483917 234,225,233
246 12.778713 0.464096 0.928400 234,228
249 8.181343 -1 -1 237
250 19.357829 1.617034 3.043961 238,249
251 19.452115 1.480285 2.865517 249,239
254 12.144975 0.378330 0.781244 250,242
255 20.757029 0.610623 1.362393 250,251,243
258 12.050688 0.123828 0.123130 251,246
261 7.828296 -1 -1 254
262 19.104306 1.620387 3.017142 261,255
265 11.991952 0.574374 0.951168 262,258
268 7.885496 -1 -1 265
