206 0.254642 -1 -1 
207 0.299829 0.175231 0.136400 206
208 0.278387 0.184032 0.148203 206
209 0.224260 0.093797 0.180260 206
210 0.491682 0.077873 0.042534 206
213 0.095823 0.129206 0.156305 207
214 0.125156 0.150089 0.116845 208,207
215 0.114051 0.163009 0.095822 209,207
216 0.088070 0.100850 0.089677 210,207
219 0.077454 0.134444 0.131790 208
220 0.189549 0.093797 0.091771 209,208
221 0.124876 0.080946 0.047143 208,210
224 0.107136 0.114330 0.120965 209
225 0.112514 0.042463 0.115797 209,210
228 0.160425 0.106578 0.076826 210
231 0.325251 -1 -1 213
232 0.168177 0.096381 0.144501 214,231
233 0.269797 0.115378 0.116355 215,231
234 0.475409 0.084019 0.089746 216,231
237 0.075289 0.119987 0.122501 232,219
238 0.195066 0.118451 0.123060 220,232,233
239 0.091702 0.094356 0.088140 234,221,232
242 0.085206 0.110210 0.116355 224,233
243 0.123479 0.043022 0.039949 234,225,233
246 0.153581 0.088140 0.084019 234,228
249 0.103854 -1 -1 237
250 0.256178 0.100990 0.139892 238,249
251 0.167829 0.150508 0.122013 249,239
254 0.170203 0.134794 0.118870 250,242
255 0.124387 0.047701 0.049238 250,251,243
258 0.078641 0.124038 0.122083 251,246
261 0.110420 -1 -1 254
262 0.173835 0.090235 0.149740 261,255
265 0.116006 0.069702 0.081994 262,258
268 0.141080 -1 -1 265
