886 7.996544 -1 -1 
887 20.097797 1.461708 2.708723 886
888 20.313187 1.250647 2.496825 886
889 20.100591 1.304914 2.512470 886
890 20.060851 1.282984 2.543478 886
891 20.018178 1.325029 2.564571 886
892 20.083828 1.313434 2.458831 886
893 20.324223 1.314692 18.114934 886
894 20.177277 1.307148 0.138984 886
895 20.166800 1.311408 0.104553 886
898 13.149291 0.311492 0.844381 887
899 22.741219 0.663073 1.074857 888,887
900 22.597206 0.527720 1.052437 889,887
901 22.482806 0.905492 0.067118 890,887
902 22.502431 0.985320 1.290317 891,887
903 22.291511 0.941949 1.231720 892,887
904 22.913517 13.098237 1.208812 893,887
905 22.369663 0.857161 1.213143 894,887
906 22.893402 0.509073 1.150635 887,895
909 13.176041 0.493149 0.160566 888
910 22.860368 0.586457 13.848821 889,888
911 22.627587 0.568788 1.282984 890,888
912 22.901923 1.007809 1.276070 891,888
913 22.532115 0.933428 1.281448 892,888
914 22.773904 0.918761 1.226273 888,893
915 22.624444 0.538267 1.148888 888,894
916 22.739682 0.101410 1.220056 888,895
919 13.191545 10.414588 0.809251 889
920 22.439784 0.512495 1.017447 890,889
921 22.308551 0.445447 1.039937 891,889
922 22.501873 0.932381 1.181156 889,892
923 22.889980 0.564737 1.183460 889,893
924 22.621092 13.329551 1.201619 889,894
925 22.873148 0.536660 1.083656 889,895
928 13.171011 0.400121 0.734171 890
929 22.417155 0.367295 1.010393 890,891
930 22.695402 0.469753 1.295625 890,892
931 22.796045 0.511099 1.175219 890,893
932 22.431054 0.504673 1.150845 890,894
933 22.677383 0.513403 1.178082 890,895
936 13.246022 0.397327 0.668939 891
937 22.585682 0.540082 1.187441 891,892
938 22.826984 0.535892 1.212235 891,893
939 22.592387 0.519409 1.147142 891,894
940 22.495308 0.515359 12.718999 891,895
943 13.190079 0.394952 0.656298 892
944 22.727879 0.546508 1.261124 892,893
945 22.570177 0.537847 1.167746 892,894
946 22.885721 0.467098 1.172565 892,895
949 13.136859 0.394743 0.723346 893
950 22.568780 0.527511 1.180457 893,894
951 22.747645 0.480019 0.129695 893,895
954 13.298053 0.359473 0.647918 894
955 22.868749 0.535402 1.229136 894,895
958 13.246999 0.375327 0.719924 895
961 8.366842 -1 -1 898
962 20.190407 1.309244 2.636088 899,961
963 20.444489 1.260285 2.525530 900,961
964 19.893302 1.279702 2.545643 901,961
965 20.241530 1.229695 2.557726 902,961
966 19.989613 1.302679 2.516870 903,961
967 20.142426 1.278654 2.525808 961,904
968 20.077194 1.276767 2.538031 961,905
969 20.235803 1.299815 0.117403 906,961
972 13.202370 0.319873 0.792838 909,962
973 22.959612 0.536311 1.238146 910,962,963
974 22.512419 0.467238 1.265035 964,911,962
975 22.689536 0.563549 1.169143 965,962,912
976 22.422673 0.504114 1.171657 966,913,962
977 22.643581 0.511308 1.249529 914,967,962
978 22.378464 0.535962 1.193797 915,968,962
979 22.515142 0.146527 0.121454 916,969,962
982 13.455825 0.158191 0.649035 919,963
983 22.653568 0.099384 1.252183 964,920,963
984 23.056342 0.564108 1.176475 965,921,963
985 22.499777 0.512076 1.193726 966,922,963
986 22.686043 0.543854 1.146793 967,923,963
987 22.506203 0.510610 1.149238 924,968,963
988 22.587359 0.505511 1.133314 925,969,963
991 13.205584 0.300527 0.802197 964,928
992 22.600838 0.532331 1.186673 964,965,929
993 22.439993 0.523600 1.175497 964,966,930
994 22.617320 0.517733 1.209300 964,931,967
995 22.466184 0.554260 1.153149 964,932,968
996 22.664951 0.542038 0.097429 964,933,969
999 13.397717 0.396698 0.738571 965,936
1000 22.593853 0.518292 1.157409 965,966,937
1001 22.780399 0.527371 0.100012 938,965,967
1002 22.728297 0.504464 13.729742 965,939,968
1003 22.681435 0.534775 1.217403 965,969,940
1006 13.098936 0.397327 0.746533 966,943
1007 22.739822 0.544622 1.136387 966,967,944
1008 22.581492 0.518571 1.188699 966,945,968
1009 22.686882 0.507117 1.169911 946,966,969
1012 13.127920 0.399842 0.122641 967,949
1013 22.218596 0.506977 1.168025 950,967,968
1014 22.569619 0.125575 13.848053 951,967,969
1017 13.260758 0.338590 0.116915 968,954
1018 22.745618 0.543644 1.080793 955,968,969
1021 13.082034 0.124806 0.687587 958,969
1024 8.740633 -1 -1 972
1025 20.560845 1.398991 2.551999 1024,973
1026 19.960839 1.243942 2.527484 1024,974
1027 20.530463 1.312946 13.712560 1024,975
1028 20.532909 1.215936 13.703132 1024,976
1029 20.063994 1.248691 2.510235 977,1024
1030 20.236711 1.248482 1.897447 1024,978
1031 19.962375 1.249250 2.498780 1024,979
1034 13.221368 0.325949 0.726628 1025,982
1035 22.527504 0.519898 1.226691 1025,983,1026
1036 22.911213 0.543155 1.210838 1025,1027,984
1037 22.703923 0.512216 13.363913 1025,1028,985
1038 22.721593 0.547136 1.142114 1025,986,1029
1039 22.541332 0.532120 1.151892 1025,1030,987
1040 22.594133 0.553841 1.182622 1025,988,1031
1043 13.154040 0.351860 12.789120 1026,991
1044 22.807777 0.518222 1.257980 1027,1026,992
1045 22.684577 0.513403 1.215168 1026,1028,993
1046 22.551460 0.098407 1.201479 994,1026,1029
1047 22.624304 0.549651 1.144908 995,1030,1026
1048 22.696659 0.525136 1.172635 1031,996,1026
1051 13.333253 0.370717 0.798564 1027,999
1052 22.615295 13.375856 1.168234 1027,1028,1000
1053 22.508578 0.513333 1.189466 1027,1029,1001
1054 22.615784 0.514730 1.219079 1027,1030,1002
1055 22.465765 0.570184 1.272438 1027,1031,1003
1058 13.242529 0.392158 0.746183 1006,1028
1059 22.506272 0.521016 1.230323 1007,1029,1028
1060 22.344102 0.512006 1.123676 1030,1028,1008
1061 22.631079 0.524089 1.172564 1031,1028,1009
1064 13.101450 0.389854 0.735288 1029,1012
1065 22.457803 0.473733 1.115924 1030,1029,1013
1066 22.554603 0.130463 0.136330 1014,1031,1029
1069 13.278219 0.388526 0.800241 1030,1017
1070 22.443556 0.499435 1.094343 1030,1031,1018
1073 13.171850 0.395721 0.803174 1031,1021
1076 8.220245 -1 -1 1034
1077 19.984236 1.191980 14.782947 1076,1035
1078 20.230147 1.285427 13.140001 1076,1036
1079 20.090673 1.264057 2.518685 1076,1037
1080 20.240902 1.312387 2.528324 1076,1038
1081 20.122521 1.300723 2.523714 1076,1039
1082 20.254102 1.284521 2.520989 1076,1040
1085 13.175691 0.352349 0.736406 1043,1077
1086 22.838926 0.514241 1.156082 1077,1078,1044
1087 22.475682 0.502018 1.252673 1077,1045,1079
1088 22.817555 13.294770 1.199802 1077,1046,1080
1089 22.464088 0.535123 1.222711 1077,1047,1081
1090 22.915403 0.513054 0.107555 1077,1048,1082
1093 13.177996 0.337403 0.737664 1051,1078
1094 22.569479 0.513822 1.193378 1052,1078,1079
1095 22.553066 0.524578 1.158806 1053,1078,1080
1096 22.783682 0.510609 13.798675 1054,1081,1078
1097 22.869098 0.515428 1.174730 1082,1078,1055
1100 13.301685 0.340615 0.663073 1058,1079
1101 22.556419 0.524298 1.111663 1059,1080,1079
1102 22.494889 0.513752 1.079956 1060,1081,1079
1103 22.827962 0.558939 1.173752 1061,1082,1079
1106 13.161095 0.370647 0.718177 1064,1080
1107 22.622489 0.486374 1.204063 1065,1081,1080
1108 22.408635 0.511517 0.124527 1066,1082,1080
1111 13.234987 0.334470 0.667682 1069,1081
1112 22.389149 0.515289 1.123466 1070,1082,1081
1115 13.050535 0.330000 0.118451 1082,1073
1118 8.251814 -1 -1 1085
1119 20.120496 1.259167 2.512120 1118,1086
1120 20.146197 1.262241 2.477129 1087,1118
1121 20.142565 1.264895 0.101549 1118,1088
1122 20.207657 1.282915 2.530698 1118,1089
1123 19.923752 1.300723 2.564780 1118,1090
1126 13.392689 0.393905 0.750933 1119,1093
1127 22.980425 0.524927 1.143511 1119,1120,1094
1128 22.625143 0.518920 1.148818 1119,1121,1095
1129 22.885790 0.502020 13.804472 1119,1122,1096
1130 22.851498 0.532679 1.206158 1119,1097,1123
1133 13.388846 0.383009 0.801707 1120,1100
1134 22.632825 0.511238 1.149447 1120,1121,1101
1135 22.712724 0.468425 1.099441 1120,1122,1102
1136 22.756723 0.103994 13.119189 1120,1123,1103
1139 13.075330 0.369530 0.719015 1106,1121
1140 22.744082 0.481416 1.114526 1121,1122,1107
1141 22.731720 0.633390 1.147213 1121,1123,1108
1144 13.248325 0.357727 0.706514 1111,1122
1145 22.307085 0.489378 1.169212 1122,1123,1112
1148 12.861196 0.324972 0.677041 1123,1115
1151 8.184277 -1 -1 1126
1152 19.769963 1.261962 2.506533 1151,1127
1153 19.893372 1.289479 2.542292 1128,1151
1154 19.961188 1.284660 2.476851 1129,1151
1155 19.630768 1.282425 2.533632 1130,1151
1158 13.364960 0.399004 0.741434 1133,1152
1159 22.634361 0.502997 0.106089 1134,1153,1152
1160 22.574089 0.463466 1.193029 1154,1135,1152
1161 22.498451 0.513402 1.205041 1155,1136,1152
1164 13.058358 0.363035 0.777193 1139,1153
1165 22.842628 0.521994 1.158666 1154,1140,1153
1166 22.368336 0.510190 1.140787 1155,1141,1153
1169 13.203278 0.370089 0.699042 1154,1144
