206 0.260627 -1 
207 0.075442 0.403037 206
208 0.141164 0.351110 206
209 0.163640 0.403263 206
210 0.139616 0.104036 206
213 0.032562 0.052970 207
214 0.056388 0.011851 208,207
215 0.096730 0.036791 209,207
216 0.039043 0.050801 210,207
219 0.045309 0.320625 208
220 0.083560 0.052935 209,208
221 0.155373 0.045250 208,210
224 0.049622 0.054893 209
225 0.033665 0.054091 209,210
228 0.027117 0.053204 210
231 0.052156 -1 213
232 0.053862 0.104173 214,231,213
233 0.052099 0.029177 215,231,213
234 0.078775 0.011244 216,231
237 0.024885 0.014037 232,219
238 0.033036 0.053196 220,232,233
239 0.034941 0.054900 234,221,232
242 0.103730 0.051126 224,233
243 0.092273 0.052314 234,225,233
246 0.042935 0.050094 234,228
249 0.058191 -1 237
250 0.064504 0.106344 238,237,249
251 0.050269 0.101706 237,249,239
254 0.025585 0.052258 250,238,242
255 0.051613 0.051120 250,251,243
258 0.091066 0.050131 251,246
261 0.054184 -1 254
262 0.055371 0.103430 261,254,255
265 0.029208 0.049729 262,258,255
268 0.049062 -1 258,265
