886 0.941470 -1 
887 1.803439 1.086669 886
888 1.850660 0.868828 886
889 1.868603 0.633095 886
890 1.750337 0.908012 886
891 1.855829 0.562937 886
892 1.761462 0.554513 886
893 1.848049 0.863471 886
894 1.746196 0.550132 886
895 1.837670 0.228359 886
898 1.804939 0.119968 887
899 2.572807 0.366571 888,887
900 2.542482 0.320541 889,887
901 2.820467 0.077708 890,887
902 1.901786 0.073344 891,887
903 2.571157 0.079919 892,887
904 2.189711 0.054529 893,887
905 2.560672 0.078850 894,887
906 1.913347 0.075324 887,895
909 1.876546 0.119471 888
910 2.183387 0.113625 889,888
911 2.564778 0.381482 890,888
912 2.163869 0.157843 891,888
913 2.586051 0.075815 892,888
914 1.986922 0.172879 888,893
915 2.728217 0.073072 888,894
916 1.953723 0.046337 888,895
919 1.893770 0.372094 889
920 2.170396 0.088348 890,889
921 2.045150 0.058227 891,889
922 2.150318 0.033997 889,892
923 2.070966 0.122812 889,893
924 2.102390 0.073670 889,894
925 2.094710 0.077219 889,895
928 1.751526 0.411180 890
929 2.034509 0.076041 890,891
930 2.736833 0.072993 890,892
931 2.028309 0.076202 890,893
932 2.900024 0.075039 890,894
933 2.173622 0.074003 890,895
936 1.947997 0.318377 891
937 2.121468 0.076496 891,892
938 2.100914 0.072643 891,893
939 2.079121 0.073635 891,894
940 2.140952 0.145019 891,895
943 1.968940 0.050658 892
944 2.038532 0.087042 892,893
945 2.608425 0.074101 892,894
946 2.014833 0.067946 892,895
949 1.897505 0.076625 893
950 2.211398 0.077365 893,894
951 2.175373 0.055066 893,895
954 1.819865 0.086471 894
955 2.006543 0.073596 894,895
958 1.928190 0.033659 895
961 0.957251 -1 898
962 1.749073 0.559761 899,961
963 1.874382 0.590569 900,961
964 1.879664 0.248870 901,961
965 1.755346 0.542527 902,961
966 1.756388 1.104560 903,961
967 1.837826 0.512759 961,904
968 1.838828 0.496989 961,905
969 1.755659 0.617079 906,961
972 1.357155 0.079998 909,962
973 2.378182 0.249067 910,962,963
974 2.168153 0.075756 964,911,962
975 2.183646 0.070472 965,962,912
976 2.037799 0.574274 966,913,962
977 2.161068 0.080283 914,967,962
978 2.091242 0.029939 915,968,962
979 2.080747 0.030578 916,969,962
982 1.530580 0.047282 919,963
983 2.207951 0.076033 964,920,963
984 2.000534 0.074250 965,921,963
985 2.079527 0.331459 966,922,963
986 2.152000 0.075393 967,923,963
987 2.159386 0.047883 924,968,963
988 2.058941 0.073479 925,969,963
991 1.400900 0.247275 964,928
992 2.057895 0.359575 964,965,929
993 2.124180 0.417995 964,966,930
994 2.104506 0.117494 964,931,967
995 1.855233 0.073517 964,932,968
996 1.944923 0.074531 964,933,969
999 1.326352 0.068191 965,936
1000 2.136957 0.075444 965,966,937
1001 2.052182 0.196107 938,965,967
1002 2.044656 0.074344 965,939,968
1003 2.057561 0.178545 965,969,940
1006 1.265027 0.385533 966,943
1007 2.156821 0.074306 966,967,944
1008 1.960493 0.073455 966,945,968
1009 2.166188 0.068433 946,966,969
1012 1.427595 0.056623 967,949
1013 2.095319 0.072719 950,967,968
1014 2.044950 0.073354 951,967,969
1017 1.417277 0.157354 968,954
1018 1.969742 0.108949 955,968,969
1021 1.274876 0.066827 958,969
1024 0.959693 -1 972
1025 1.871739 0.806183 1024,973
1026 1.740118 0.594620 1024,974
1027 1.877234 0.340551 1024,975
1028 1.761583 0.552758 1024,976
1029 1.849261 0.227432 977,1024
1030 1.845818 0.496786 1024,978
1031 1.749698 0.561098 1024,979
1034 1.234925 0.068240 1025,982
1035 1.928560 0.013599 1025,983,1026
1036 2.151651 0.120720 1025,1027,984
1037 2.316595 0.071454 1025,1028,985
1038 1.902466 0.280998 1025,986,1029
1039 2.138021 0.068631 1025,1030,987
1040 2.369049 0.033656 1025,988,1031
1043 1.270408 0.042265 1026,991
1044 2.177124 0.050696 1027,1026,992
1045 2.077200 0.070807 1026,1028,993
1046 2.149031 0.078097 994,1026,1029
1047 1.924863 0.043245 995,1030,1026
1048 2.128702 0.077135 1031,996,1026
1051 1.264705 0.072681 1027,999
1052 2.039328 0.115333 1027,1028,1000
1053 1.887540 0.074648 1027,1029,1001
1054 2.119823 0.073597 1027,1030,1002
1055 2.059912 0.035410 1027,1031,1003
1058 1.445144 0.111525 1006,1028
1059 2.077542 0.375380 1007,1029,1028
1060 2.089196 0.069136 1030,1028,1008
1061 2.127627 0.359665 1031,1028,1009
1064 1.231506 0.053206 1029,1012
1065 1.894126 0.073634 1030,1029,1013
1066 2.353633 0.068954 1014,1031,1029
1069 1.428374 0.072738 1030,1017
1070 1.878065 0.074371 1030,1031,1018
1073 1.513776 0.068902 1031,1021
1076 0.975099 -1 1034
1077 1.776277 0.912805 1076,1035
1078 1.849110 0.013157 1076,1036
1079 1.748045 0.868393 1076,1037
1080 1.744987 0.893464 1076,1038
1081 1.841381 0.502524 1076,1039
1082 1.776126 0.051908 1076,1040
1085 1.281903 0.408185 1043,1077
1086 1.951964 0.382800 1077,1078,1044
1087 2.029097 0.050562 1077,1045,1079
1088 1.974319 0.072853 1077,1046,1080
1089 1.953359 0.281462 1077,1047,1081
1090 2.050856 0.077011 1077,1048,1082
1093 1.354069 0.364400 1051,1078
1094 2.266967 0.207990 1052,1078,1079
1095 2.098548 0.068322 1053,1078,1080
1096 1.971416 0.067747 1054,1081,1078
1097 2.217254 0.073226 1082,1078,1055
1100 1.505234 0.051342 1058,1079
1101 2.227085 0.076227 1059,1080,1079
1102 2.001070 0.075732 1060,1081,1079
1103 2.025819 0.072723 1061,1082,1079
1106 1.256456 0.052616 1064,1080
1107 2.175410 0.069916 1065,1081,1080
1108 2.225922 0.072442 1066,1082,1080
1111 1.274039 0.071203 1069,1081
1112 2.003591 0.074540 1070,1082,1081
1115 1.441688 0.067468 1082,1073
1118 0.920964 -1 1085
1119 1.771469 0.899512 1118,1086
1120 1.848000 0.850870 1087,1118
1121 1.760551 0.556383 1118,1088
1122 1.749815 0.471016 1118,1089
1123 1.880758 0.847552 1118,1090
1126 1.300069 0.403469 1119,1093
1127 1.995314 0.076426 1119,1120,1094
1128 2.130265 0.071534 1119,1121,1095
1129 2.112774 0.049419 1119,1122,1096
1130 2.197734 0.072248 1119,1097,1123
1133 1.249979 0.046148 1120,1100
1134 2.159326 0.114233 1120,1121,1101
1135 2.161911 0.076828 1120,1122,1102
1136 1.965808 0.073689 1120,1123,1103
1139 1.254982 0.106870 1106,1121
1140 1.930361 0.074977 1121,1122,1107
1141 2.178838 0.075186 1121,1123,1108
1144 1.351843 0.063051 1111,1122
1145 2.252084 0.073540 1122,1123,1112
1148 1.299604 0.117706 1123,1115
1151 0.927411 -1 1126
1152 1.780931 0.867272 1151,1127
1153 1.771546 0.851485 1128,1151
1154 1.752510 0.430602 1129,1151
1155 1.740846 0.909725 1130,1151
1158 1.176910 0.111508 1133,1152
