206 0.258401 -1
207 0.250474 0.221564 206
208 0.218196 0.460959 206
209 0.218748 0.538440 206
210 0.215747 0.217616 206
213 0.136827 0.059810 207
214 0.153766 0.061140 208,207
215 0.163379 0.115370 209,207
216 0.155672 0.068656 210,207
219 0.114860 0.066647 208
220 0.154463 0.060996 209,208
221 0.200766 0.061653 208,210
224 0.107082 0.074620 209
225 0.187178 0.087512 209,210
228 0.102759 0.061519 210
231 0.152556 -1 213
232 0.251194 0.216227 214,231
233 0.222138 0.225544 215,231
234 0.217990 0.167564 216,231
237 0.139980 0.060597 232,219
238 0.147258 0.017834 220,232,233
239 0.140766 0.018035 234,221,232
242 0.092437 0.064568 224,233
243 0.149896 0.013196 234,225,233
246 0.091270 0.058365 234,228
249 0.201244 -1 237
250 0.216726 0.212821 238,249
251 0.213510 0.216264 249,239
254 0.107028 0.060989 250,242
255 0.151347 0.061083 250,251,243
258 0.101042 0.062124 251,246
261 0.155320 -1 254
262 0.218771 0.216131 261,255
265 0.092870 0.060524 262,258
268 0.152354 -1 265
