206 8.791469 -1 
207 18.587827 2.086743 206
208 18.447720 2.067777 206
209 17.416153 2.104325 206
210 17.334596 1.843956 206
213 13.740002 0.417385 207
214 23.619037 1.057617 208,207
215 20.939244 0.686198 209,207
216 20.996379 1.051955 210,207
219 13.891596 0.700624 208
220 23.519024 0.037439 209,208
221 23.469494 0.960783 208,210
224 13.265302 0.413340 209
225 22.872417 0.690549 209,210
228 13.775361 11.240494 210
231 7.815591 -1 213
232 17.359084 1.821737 214,231
233 15.968363 1.804180 215,231
234 17.158827 1.810991 216,231
237 12.923645 0.407303 232,219
238 22.912834 0.641260 220,232,233
239 23.201885 0.643146 234,221,232
242 13.026021 0.404385 224,233
243 22.874761 0.735531 234,225,233
246 12.789242 0.423689 234,228
249 7.797533 -1 237
250 17.320685 1.730995 238,249
251 17.261694 1.730474 249,239
254 12.992979 1.061511 250,242
255 22.593874 0.051023 250,251,243
258 11.484048 0.412320 251,246
261 7.852665 -1 254
262 16.967392 2.040447 261,255
265 12.706791 0.405340 262,258
268 7.424193 -1 265
