206 0.936787 -1 
207 1.899379 0.588482 206
208 1.880356 0.948169 206
209 1.888375 0.591367 206
210 1.835264 0.600771 206
213 1.807669 0.109973 207
214 2.537557 0.110177 208,207
215 2.463885 0.072804 209,207
216 2.483560 0.112547 210,207
219 1.754423 0.112852 208
220 2.552725 0.114943 209,208
221 2.490164 0.075473 208,210
224 1.655980 0.113532 209
225 2.507132 0.114509 209,210
228 1.553938 0.553117 210
231 0.962690 -1 213
232 1.869260 0.587283 214,231
233 1.830803 0.611748 215,231
234 1.824650 0.590737 216,231
237 1.421385 0.106524 232,219
238 2.168263 0.113193 220,232,233
239 2.388864 0.027142 234,221,232
242 1.498449 0.112222 224,233
243 2.361183 0.111127 234,225,233
246 1.420174 0.106050 234,228
249 0.957240 -1 237
250 1.842666 0.589333 238,249
251 1.836693 0.600652 249,239
254 1.309561 0.106815 250,242
255 2.223702 0.110785 250,251,243
258 1.308885 0.102667 251,246
261 0.933612 -1 254
262 1.836663 0.591358 261,255
265 1.231018 0.105281 262,258
268 0.944074 -1 265
