15404 0.206438 0.531513 
15407 1.596189 0.351397 15404
15410 0.608389 12.013454 15404
15413 1.562225 0.356281 15404
15416 1.602897 0.352238 15404
15419 0.645661 0.050863 15404
15422 0.608735 0.060170 15404
15425 0.693475 0.039179 15404
15428 0.707776 0.240405 15404
15431 0.735164 0.053266 15404
15434 0.758083 0.056981 15404
15437 0.786475 0.051717 15404
15440 0.641782 0.015015 15404
15443 0.821191 0.051198 15404
15446 0.703493 0.057380 15404
15449 0.674662 0.059378 15404
15452 0.791303 0.036654 15404
15455 0.895309 0.090439 15404
15458 0.625576 0.060544 15404
15461 0.615349 0.037669 15404
15466 0.151837 0.270888 15407
15469 0.738697 0.058126 15410,15466
15472 0.650585 0.104151 15413,15466
15475 0.711506 0.348625 15416,15466
15478 0.789308 0.348216 15419,15466
15481 0.728123 0.054434 15422,15466
15484 0.749893 0.034040 15425,15466
15487 0.746767 0.057585 15428,15466
15490 0.850417 0.102478 15431,15466
15493 0.808055 0.083683 15434,15466
15496 0.832654 0.059577 15437,15466
15499 1.003975 0.366404 15440,15466
15502 0.760204 0.055360 15443,15466
15505 0.846678 0.052113 15446,15466
15508 0.754120 0.066791 15449,15466
15511 0.814426 0.054081 15452,15466
15514 0.832033 0.055397 15455,15466
15517 0.824120 0.056371 15458,15466
15520 0.752600 0.034893 15461,15466
15525 0.628960 0.252789 15469,15410
15528 0.594152 0.550429 15472,15410,15525
15531 0.627309 0.034302 15410,15525,15475
15534 0.647366 0.370187 15478,15410,15525,15419
15537 0.731117 0.034162 15481,15410,15525,15422
15540 0.629660 0.363980 15425,15410,15525,15484
15543 0.783182 0.096580 15487,15410,15525,15428
15546 0.765246 0.071287 15490,15410,15525,15431
15549 0.729306 0.032085 15434,15410,15525,15493
15552 0.680194 0.056311 15437,15496,15410,15525
15555 0.734484 0.057327 15440,15410,15525,15499
15558 0.725370 0.054904 15502,15443,15410,15525
15561 0.730887 0.058002 15446,15410,15525,15505
15564 0.936065 0.012459 15508,15410,15525,15449
15567 0.753682 0.056846 15511,15452,15410,15525
15570 0.719796 0.058791 15410,15525,15455,15514
15573 0.716632 0.056812 15458,15410,15525,15517
15576 0.708704 0.032117 15520,15461,15410,15525
15581 0.278881 0.268075 15528
15584 0.596088 0.349518 15581,15531
15587 0.710098 0.098814 15581,15534,15419
15590 0.713573 0.055736 15537,15581,15422
15593 0.616515 0.097263 15425,15581,15540
15596 0.744544 0.098518 15581,15543,15428
15599 0.725260 0.315232 15546,15581,15431
15602 0.684421 0.099706 15434,15581,15549
15605 0.702685 0.056815 15437,15581,15552
15608 0.717623 0.098706 15555,15581,15440
15611 0.705891 0.058052 15581,15443,15558
15614 0.752600 0.059472 15446,15581,15561
15617 0.728735 0.097646 15564,15581,15449
15620 0.710413 0.101926 15452,15581,15567
15623 0.760769 0.060830 15581,15570,15455
15626 0.753213 0.058197 15573,15458,15581
15629 0.745630 0.058169 15520,15581,15576
15634 0.619829 0.252998 15584
15637 0.601210 0.056640 15634,15587,15419
15640 0.596136 0.305438 15590,15634,15422
15643 0.758601 0.399111 15425,15593,15634
15646 0.691299 0.059075 15634,15428,15596
15649 0.607653 0.059116 15599,15634,15431
15652 0.696003 0.099282 15434,15602,15634
15655 0.634010 0.055632 15605,15634,15437
15658 0.632586 0.058551 15608,15634,15440
15661 0.639458 0.309252 15443,15611,15634
15664 0.639291 0.038011 15446,15634,15614
15667 0.639958 0.014781 15634,15617,15449
15670 0.915423 0.099052 15452,15634,15620
15673 0.705112 0.367245 15623,15634,15455
15676 0.706404 0.329649 15458,15626,15634
15679 0.703522 0.098635 15520,15634,15629
15684 0.264842 0.552505 15419,15637
15687 0.688331 0.411818 15422,15640,15684,15419
15690 0.570232 0.349455 15425,15684,15643,15419
15693 0.680056 0.098609 15646,15684,15428,15419
15696 0.563560 0.034113 15431,15649,15684,15419
