1069 0.541153 0.607703
1072 1.271840 0.440047 1069
1075 1.293880 0.139213 1069
1078 1.347838 0.394007 1069
1081 1.036507 0.039519 1069
1086 0.481649 0.386835 1072
1089 1.203480 0.168904 1086,1075
1092 1.073782 0.338284 1086,1078
1095 1.262321 0.457639 1086,1081
1100 0.444372 11.977349 1089
1103 1.045402 0.137171 1092,1100
1106 1.028657 0.132863 1095,1100
1111 0.417791 0.350660 1103
1114 0.916296 0.405818 1111,1106
1119 0.324048 0.607622 1114
1124 0.221585 0.298597 1119
1127 0.829976 0.337261 1111,1124,1114
1131 0.976794 0.371579 1106,1124,1103,1100
1135 0.840767 0.049387 1086,1124,1092,1089,1095
1139 1.194737 0.123208 1069,1078,1081,1072,1075,1124
1145 0.243097 0.245020 1127
1148 0.799043 0.437554 1131,1145
1151 1.095796 0.155107 1135,1145
1154 1.090126 0.385140 1069,1139,1145
1159 0.304015 0.295296 1148
1162 0.868877 0.120838 1151,1159
1165 0.955882 0.383060 1069,1154,1159
1170 0.404239 0.292176 1162
1173 1.098368 0.119638 1069,1165,1170
1178 0.443214 0.294739 1069,1173
