380 0.052817 -1
381 0.057384 0.145142 380
382 0.071752 0.136798 380
383 0.084956 0.349970 380
384 0.158386 0.151758 380
387 0.069470 0.055354 381
388 0.083960 0.050222 381,382
389 0.040613 0.012939 381,383
390 0.088007 0.056839 381,384
393 0.064103 0.065811 382
394 0.079953 0.049047 382,383
395 0.034324 0.048623 382,384
398 0.033403 0.039924 383
399 0.073007 0.045942 383,384
402 0.030643 0.386076 384
405 0.140780 -1 387
406 0.149953 0.104349 388,405,387
407 0.140937 0.102252 389,405,387
408 0.064996 0.103589 405,390,387
411 0.068976 0.051923 388,406,393
412 0.077560 0.051702 407,389,394,388,406
413 0.042235 0.061444 388,406,390,395,408
416 0.056004 0.059372 407,389,398
417 0.036197 0.051528 407,389,399,390,408
420 0.060853 0.047119 390,402,408
423 0.127764 -1 393,411
424 0.059913 0.103765 393,423,412,394
425 0.073128 0.052503 393,423,395,413
428 0.026808 0.047922 416,398,424,394
429 0.083224 0.049681 417,395,394,399,425,424
432 0.026627 0.014339 420,425,402,395
435 0.051732 -1 428,398
436 0.053190 0.025197 429,399,435,398
439 0.022134 0.047407 436,399,432,402
442 0.080634 -1 402,439
445 0.076134 0.052035 380,381,390,387,388,389
447 0.061451 0.107935 380,393,382,395,394,388
449 0.161737 0.045399 380,383,394,389,399,398
451 0.058415 0.041135 380,390,384,402,395,399
463 0.071271 -1 449,451,447,445,380,381,382,383,384
465 0.063621 0.101759 406,405,411,412,413,388
467 0.054585 0.049740 407,405,417,412,389,416
469 0.058961 0.119517 405,417,390,413,420,408
471 0.077040 0.059474 465,447,445
474 0.030881 0.024296 449,467,445,383,394,389,399,398
477 0.027036 0.062808 469,451,445,390,384,402,395,399
482 0.051386 0.109858 474,405,471,477,445
486 0.069980 -1 469,465,467,407,406,405,387,482,408
488 0.147040 0.107441 429,428,423,424,394
490 0.057343 0.102082 429,432,423,425,395
492 0.080383 0.056770 488,429,428,471,474,394,424
493 0.096520 0.060213 429,428,474,488,465,467,394,424
497 0.081783 0.051343 490,429,471,432,395,425,477
498 0.081397 0.357807 429,425,469,477,395,465,432,490
504 0.052622 0.103562 423,497,492,471
508 0.051864 0.364111 465,423,471,498,493
512 0.184637 -1 490,424,393,508,488,423,425,504
514 0.053619 0.102308 436,399,435,439
516 0.035009 0.049527 439,436,399,497,514,492
517 0.030984 0.047861 498,439,436,399,514,493
518 0.037175 0.050730 488,498,439,436,399,497,490,514
524 0.050500 0.105483 435,492,516
527 0.135036 0.102046 435,517,493
531 0.049572 0.012619 518,488,429,428,394,435,424,492,493
535 0.188127 -1 524,527,531,435,436,398,514
539 0.047692 0.055101 442,516
542 0.050000 0.053958 442,517
545 0.070461 0.111805 442,518
548 0.154913 0.346046 442,516,514,517,518
552 0.175497 -1 542,402,545,442,548,539
556 0.077081 -1 463
557 0.024250 0.314985 556,482,463
560 0.042822 -1 486,557,482
563 0.063273 -1 560,486
564 0.022382 0.311940 504,556,557
565 0.031129 0.364475 560,504,482,508
566 0.024469 0.012996 486,563,508
569 0.054546 -1 504,512,564,565
573 0.105483 -1 512,566,565,508
577 0.119507 -1 573,569,512
579 0.062270 0.360045 524,564,492,516
581 0.090437 0.053641 560,565,524,527,482,492
583 0.031689 0.304730 524,569,492,531
584 0.063060 0.256179 486,563,527,566
586 0.037013 0.066790 527,508,531,573,565,566
587 0.031001 0.011520 512,577,531
590 0.086087 -1 524,535,583,581,579,492
594 0.100863 -1 586,535,527,584,581
598 0.048973 -1 586,587,535,583,531
602 0.043313 -1 598,535,594,590
604 0.070574 0.049687 579,539
605 0.036804 0.294656 542,539,581
606 0.045924 0.013711 583,539,545
607 0.032804 0.300473 590,548,539
608 0.024300 0.060437 542,584
609 0.080360 0.056551 542,586,545
610 0.030345 0.053001 542,548,594
611 0.057487 0.050198 587,545
612 0.030155 0.296107 598,548,545
613 0.060080 0.363424 548,602
616 0.034046 -1 605,604,607,606,539,552
620 0.040655 -1 542,605,610,609,608,552
624 0.034467 -1 606,545,612,611,609,552
628 0.028336 -1 607,612,613,548,610,552
632 0.041990 -1 620,628,616,552,624
