380 2.783880 -1
381 5.319935 1.275314 380
382 5.417112 1.308723 380
383 5.366865 1.083162 380
384 5.363225 1.286121 380
387 4.866517 0.472575 381
388 8.059570 0.514728 381,382
389 7.295238 0.518874 381,383
390 7.972055 0.255858 381,384
393 4.361115 0.521409 382
394 7.217301 0.209780 382,383
395 7.947975 0.163786 382,384
398 4.395976 0.121872 383
399 7.332156 0.311337 383,384
402 4.345062 0.068180 384
405 3.021624 -1 387
406 5.318842 1.027820 388,405
407 5.415429 1.021768 389,405
408 6.024120 1.028345 405,390
411 4.102995 0.150965 393,406
412 7.001689 0.053785 407,406,394
413 7.854483 0.017367 406,395,408
416 3.996562 0.173410 407,398
417 7.066719 0.197245 407,399,408
420 4.587125 0.170721 402,408
423 2.984998 -1 411
424 5.323621 1.327664 423,412
425 5.894924 0.028099 423,413
428 3.945449 0.418578 416,424
429 7.942158 0.492272 417,425,424
432 4.581525 0.483744 420,425
435 2.644342 -1 428
436 5.949753 0.940855 429,435
439 4.214328 0.166051 436,432
442 2.728904 -1 439
445 6.233205 0.920900 380,381,390,387,388,389
447 5.614792 0.812103 380,393,382,395,394,388
449 5.414298 0.929090 380,383,394,389,399,398
451 6.212320 0.979343 380,390,384,402,395,399
463 3.012745 -1 449,451,447,445,380,381,382,383,384
465 5.879712 1.295952 406,405,411,412,413
467 5.378639 1.275231 407,405,417,416,412
469 6.196603 0.953722 420,405,417,408,413
471 7.598795 0.250157 465,447,445
474 7.641311 0.152968 467,449,445
477 7.606725 0.207368 451,469,445
482 6.404706 1.059606 474,405,471,477,445
486 3.033212 -1 469,465,467,407,406,405,482,408
488 5.720080 1.491188 429,428,423,424
490 5.883399 1.033680 429,425,423,432
492 7.023960 0.249025 471,474,488
493 7.459075 0.494057 465,467,474,488
497 7.739050 0.251497 471,490,477
498 7.128839 0.246154 465,469,490,477
504 6.585347 1.049361 423,497,492,471
508 5.847100 0.989791 465,423,471,498,493
512 3.028560 -1 508,488,490,423,425,504,424
514 6.186800 1.036798 436,435,439
516 7.006429 0.247071 497,514,492
517 7.752450 0.542475 498,514,493
518 7.312897 0.156634 490,497,498,514,488
524 5.863160 1.002596 435,492,516
528 6.412418 1.286579 435,517,493
532 5.811147 1.313731 518,488,435,492,493
536 3.365608 -1 524,532,436,435,528,514
540 5.790651 1.042987 442,516
543 5.901932 1.267410 442,517
546 5.856649 0.982535 442,518
549 6.639013 1.300919 442,516,514,517,518
553 3.058344 -1 543,540,549,546,442
557 2.047034 -1 463
558 4.413775 0.424026 557,482
561 4.566986 0.924079 486,482,558
565 2.282758 -1 486,561
567 4.452102 0.419468 504,558
568 7.008111 0.550479 561,504,508
569 4.010827 0.415601 565,508
572 4.594141 0.914874 568,504,512,567
576 4.561786 0.920575 568,569,512,508
580 2.101389 -1 572,512,576
582 4.097909 0.164556 524,567
583 7.685205 0.286465 524,568,528
584 6.999733 0.284644 524,572,532
585 4.500832 0.165427 569,528
586 6.994079 0.284862 528,532,576
587 4.004736 0.166591 532,580
590 5.187501 0.914370 524,536,584,582,583
594 4.811441 1.226514 586,536,585,528,583
598 5.180832 0.908943 586,536,584,532,587
602 2.237667 -1 598,590,594,536
604 3.958131 0.173762 540,582
605 7.040886 0.283680 543,540,583
606 7.099611 0.282340 540,546,584
607 7.318792 0.284923 590,540,549
608 3.989357 0.176912 543,585
609 7.862386 0.284284 586,543,546
610 7.073336 0.285542 543,549,594
611 4.004885 0.042149 587,546
612 7.009954 0.247990 598,549,546
613 4.110056 0.432471 549,602
616 4.577647 0.912489 605,604,540,606,607,553
620 4.660640 1.159713 605,543,610,609,608,553
624 4.669647 0.876410 606,546,612,611,609,553
628 4.691389 1.160938 607,612,613,610,549,553
632 2.133709 -1 628,620,616,553,624
