380 13.469520 -1
381 29.606266 3.047239 380
382 29.885623 3.048683 380
383 28.929728 3.101989 380
384 29.779270 3.041954 380
387 25.120437 0.674265 381
388 44.088757 1.107381 381,382
389 44.350094 1.112594 381,383
390 44.160382 1.110921 381,384
393 24.652795 0.940404 382
394 43.778270 2.017618 382,383
395 44.009815 1.096596 382,384
398 25.067004 0.679540 383
399 44.053804 0.984744 383,384
402 25.164050 0.469896 384
405 13.290436 -1 387
406 29.854284 4.708294 388,405
407 29.946508 3.310668 389,405
408 29.869295 2.807641 405,390
411 25.120013 0.613803 393,406
412 44.460923 1.195730 407,406,394
413 44.054554 1.523490 406,395,408
416 25.040342 0.583288 407,398
417 43.746287 1.046861 407,399,408
420 24.761661 0.670529 402,408
423 13.333642 -1 411
424 29.021747 3.018562 423,412
425 29.687512 3.028681 423,413
428 24.438579 0.669862 416,424
429 45.354331 1.407805 417,425,424
432 24.422166 0.966608 420,425
435 13.346479 -1 428
436 29.905384 3.011679 429,435
439 24.375268 0.671571 436,432
442 13.408357 -1 439
445 30.971561 2.813985 380,381,390,387,388,389
447 30.653997 2.772665 380,393,382,395,394,388
449 30.669739 2.715721 380,383,394,389,399,398
451 30.194354 4.801865 380,390,384,402,395,399
463 14.332773 -1 449,451,447,445,380,381,382,383,384
465 30.229178 3.167515 406,405,411,412,413
467 30.455602 0.026970 407,405,417,416,412
469 31.160434 3.059807 420,405,417,408,413
471 43.565475 1.117519 465,447,445
474 43.336505 1.329646 467,449,445
477 43.545149 1.116679 451,469,445
482 30.679284 3.039040 474,405,471,477,445
486 14.481543 -1 469,465,467,407,406,405,482,408
488 30.132853 2.787451 429,428,423,424
490 30.416048 9.038398 429,425,423,432
492 43.602970 1.463353 471,474,488
493 43.597259 1.323580 465,467,474,488
497 43.377007 2.209702 471,490,477
498 44.937552 1.421724 465,469,490,477
504 30.655651 3.112617 423,497,492,471
508 30.883863 0.014921 465,423,471,498,493
512 14.421466 -1 508,488,490,423,425,504,424
514 29.679618 2.776828 436,435,439
516 43.656648 1.417048 497,514,492
517 43.080610 1.109784 498,514,493
518 44.236610 0.998466 490,497,498,514,488
524 30.424218 2.756890 435,492,516
528 30.565713 13.391986 435,517,493
532 31.125860 2.735598 518,488,435,492,493
536 15.156391 -1 524,532,436,435,528,514
540 30.805592 3.047938 442,516
543 30.528734 2.705120 442,517
546 30.510546 3.041089 442,518
549 31.133157 3.071114 442,516,514,517,518
553 15.381961 -1 543,540,549,546,442
557 11.646935 -1 463
558 24.610938 1.316167 557,482
561 26.936095 4.592343 486,482,558
565 11.552603 -1 486,561
567 24.379729 0.718642 504,558
568 43.895304 1.112913 561,504,508
569 23.972248 0.979373 565,508
572 31.131041 4.629603 568,504,512,567
576 31.490495 4.296322 568,569,512,508
580 12.026955 -1 572,512,576
582 29.989021 14.736904 524,567
583 46.519836 1.106402 524,568,528
584 43.601194 1.122707 524,572,532
585 26.677527 0.714108 569,528
586 43.811511 1.105084 528,532,576
587 23.899369 0.720767 532,580
590 27.576239 4.337105 524,536,584,582,583
594 28.904082 4.336457 586,536,585,528,583
598 29.255730 4.648375 586,536,584,532,587
602 11.989009 -1 598,590,594,536
604 24.342004 0.864847 540,582
605 43.592679 1.052759 543,540,583
606 43.985405 1.159388 540,546,584
607 43.690443 1.066012 590,540,549
608 24.422877 1.350985 543,585
609 43.732651 1.318919 586,543,546
610 43.663326 1.348235 543,549,594
611 23.637869 0.972650 587,546
612 43.300539 1.082240 598,549,546
613 23.450724 0.977279 549,602
616 26.983686 4.187778 605,604,540,606,607,553
620 27.726205 4.294761 605,543,610,609,608,553
624 28.120088 4.324378 606,546,612,611,609,553
628 27.979566 4.323963 607,612,613,610,549,553
632 11.720846 -1 628,620,616,553,624
