380 0.941531 -1
381 1.681155 0.607811 380
382 1.692166 0.602588 380
383 1.746355 0.898298 380
384 1.675272 0.623187 380
387 1.467482 0.090230 381
388 2.232603 0.344333 381,382
389 2.284678 0.093376 381,383
390 2.302768 0.302381 381,384
393 1.450420 0.091219 382
394 2.341176 0.054496 382,383
395 2.280471 0.071063 382,384
398 1.486939 0.390840 383
399 2.273682 0.054464 383,384
402 1.500213 0.107628 384
405 0.957029 -1 387
406 1.706519 0.561709 388,405
407 1.765963 0.567681 389,405
408 1.696373 0.568432 405,390
411 1.316069 0.098049 393,406
412 2.220150 0.043678 407,406,394
413 2.258890 0.092882 406,395,408
416 1.343403 0.079871 407,398
417 2.184493 0.537541 407,399,408
420 1.380626 0.391483 402,408
423 0.920606 -1 411
424 1.672015 0.585587 423,412
425 1.678540 0.851458 423,413
428 1.421292 0.048810 416,424
429 2.288364 0.030060 417,425,424
432 1.457412 0.347445 420,425
435 0.930922 -1 428
436 1.690365 0.568345 429,435
439 1.367766 0.310665 436,432
442 0.934402 -1 439
445 1.799583 0.494769 380,381,390,387,388,389
447 1.747036 0.611455 380,393,382,395,394,388
449 1.822961 0.407621 380,383,394,389,399,398
451 1.775563 0.518513 380,390,384,402,395,399
463 1.130797 -1 449,451,447,445,380,381,382,383,384
465 1.764293 0.570177 406,405,411,412,413
467 1.696440 0.577509 407,405,417,416,412
469 1.867464 0.573039 420,405,417,408,413
471 2.219461 0.052689 465,447,445
474 2.065026 0.196726 467,449,445
477 2.040245 0.095504 451,469,445
482 1.824632 0.570159 474,405,471,477,445
486 1.081472 -1 469,465,467,407,406,405,482,408
488 1.814061 0.565279 429,428,423,424
490 1.813867 0.889920 429,425,423,432
492 2.124199 0.093804 471,474,488
493 2.066261 0.046111 465,467,474,488
497 2.116234 0.098494 471,490,477
498 2.229658 0.362182 465,469,490,477
504 1.748317 0.579881 423,497,492,471
508 1.757107 0.574812 465,423,471,498,493
512 1.145487 -1 508,488,490,423,425,504,424
514 1.713955 0.579920 436,435,439
516 2.052209 0.027538 497,514,492
517 2.042415 0.345247 498,514,493
518 2.099935 0.055500 490,497,498,514,488
524 1.919621 0.563154 435,492,516
528 1.812430 0.937281 435,517,493
532 1.894697 0.527849 518,488,435,492,493
536 1.093016 -1 524,532,436,435,528,514
540 1.809395 0.059758 442,516
543 1.833961 0.570782 442,517
546 1.760476 0.829445 442,518
549 1.877746 0.407696 442,516,514,517,518
553 1.107972 -1 543,540,549,546,442
557 0.646810 -1 463
558 1.383915 0.024779 557,482
561 1.261430 0.275234 486,482,558
565 0.709011 -1 486,561
567 1.409755 0.112919 504,558
568 2.054750 0.096970 561,504,508
569 1.320847 0.363842 565,508
572 1.272192 0.236602 568,504,512,567
576 1.341214 0.275368 568,569,512,508
580 0.649507 -1 572,512,576
582 1.312308 0.108618 524,567
583 2.013717 0.115943 524,568,528
584 2.096918 0.120087 524,572,532
585 1.286518 0.109486 569,528
586 2.180582 0.113561 528,532,576
587 1.301283 0.108827 532,580
590 1.324498 0.232239 524,536,584,582,583
594 1.338107 0.165815 586,536,585,528,583
598 1.333438 0.264554 586,536,584,532,587
602 0.725747 -1 598,590,594,536
604 1.305353 0.361975 540,582
605 2.054396 0.012685 543,540,583
606 2.047294 0.363066 540,546,584
607 2.096895 0.116267 590,540,549
608 1.335501 0.209373 543,585
609 2.050231 0.365818 586,543,546
610 2.074596 0.116480 543,549,594
611 1.300015 0.072232 587,546
612 2.077651 0.074550 598,549,546
613 1.239304 0.113484 549,602
616 1.287415 0.267974 605,604,540,606,607,553
620 1.281379 0.274223 605,543,610,609,608,553
624 1.238544 0.231426 606,546,612,611,609,553
628 1.284116 0.231068 607,612,613,610,549,553
632 0.614346 -1 628,620,616,553,624
