380 0.159895 -1
381 0.209843 0.518838 380
382 0.213009 0.526153 380
383 0.210885 0.525395 380
384 0.206327 0.218900 380
387 0.131120 0.064561 381
388 0.162030 0.088228 381,382
389 0.187421 0.012876 381,383
390 0.155233 0.056268 381,384
393 0.112980 0.080517 382
394 0.148955 0.030403 382,383
395 0.149575 0.015984 382,384
398 0.111912 0.057509 383
399 0.154384 0.013807 383,384
402 0.124563 0.053070 384
405 0.157474 -1 387
406 0.204361 0.159656 388,405
407 0.203906 0.209957 389,405
408 0.211489 0.208956 405,390
411 0.110669 0.051271 393,406
412 0.147372 0.054247 407,406,394
413 0.170806 0.054179 406,395,408
416 0.096768 0.055000 407,398
417 0.163785 0.055799 407,399,408
420 0.112044 0.067254 402,408
423 0.156859 -1 411
424 0.207309 0.455836 423,412
425 0.205473 0.213005 423,413
428 0.106145 0.053516 416,424
429 0.154440 0.054648 417,425,424
432 0.151531 0.051575 420,425
435 0.164129 -1 428
436 0.222245 0.213197 429,435
439 0.146756 0.053293 436,432
442 0.153811 -1 439
445 0.358989 0.208888 380,381,390,387,388,389
447 0.209853 0.163361 380,393,382,395,394,388
449 0.222110 0.207890 380,383,394,389,399,398
451 0.222183 0.211797 380,390,384,402,395,399
463 0.198856 -1 449,451,447,445,380,381,382,383,384
465 0.213817 0.455492 406,405,411,412,413
467 0.213785 0.212199 407,405,417,416,412
469 0.227096 0.029880 420,405,417,413,408
471 0.148447 0.055002 406,465,394,447,445,393,381,382,390,395,387,388,389
474 0.137405 0.054258 449,467,445,407,383,394,389,399,398
477 0.155811 0.055652 469,451,445,390,384,402,395,399,408
482 0.211042 0.212520 445,381,405,471,390,477,474,387,388,389
486 0.210308 -1 469,465,467,407,406,405,482,408
488 0.244116 0.214811 429,428,423,424
490 0.212468 0.211329 429,425,423,432
492 0.164664 0.056495 449,395,383,488,447,393,382,471,474,394,388,389,399,398
493 0.145031 0.058003 407,406,474,488,465,467
497 0.143754 0.055869 451,447,393,382,471,390,477,395,394,388,384,399,490,402
498 0.151294 0.012595 465,469,490,477,408
504 0.218024 0.215916 447,393,382,471,395,394,388,423,497,492
508 0.224427 0.212388 406,471,498,465,423,493
512 0.330024 -1 508,488,490,423,425,504,424
514 0.221523 0.212122 436,435,439
516 0.161401 0.351334 474,497,514,492,477
517 0.155573 0.054913 407,498,477,474,469,467,408,514,493
518 0.223006 0.070047 490,497,498,514,488
524 0.222476 0.213034 435,492,474,516
528 0.218834 0.209360 407,474,467,435,517,493
532 0.219340 0.212039 518,488,435,492,493
536 0.210474 -1 524,532,436,435,528,514
540 0.236178 0.225934 442,477,516
543 0.229047 0.479407 469,442,477,517,408
546 0.226101 0.118307 442,518
549 0.217520 0.166307 442,516,514,517,518
553 0.204243 -1 543,540,549,546,442
557 0.134012 -1 463
558 0.093790 0.062439 557,482,463
561 0.137197 0.069851 486,558,482
564 0.215572 -1 561,486
565 0.109043 0.059959 558,447,463,393,382,471,395,394,388,504,497,492
566 0.149645 0.062098 465,561,447,393,382,498,395,394,388,497,482,492,493,406,471,508,504
567 0.104576 0.059958 406,471,498,508,465,486,564,493
570 0.134964 0.070237 447,565,566,393,382,395,394,388,497,504,492,471,423,512
574 0.157744 0.070966 465,566,567,406,471,498,508,423,512,493
578 0.123199 -1 574,423,570,512
580 0.120242 0.076074 524,463,565,474
581 0.150589 0.024967 524,467,566,407,474,528,482
582 0.155573 0.306934 393,395,570,447,524,382,471,532,474,394,388,497,492
583 0.112676 0.057410 467,567,407,474,486,528
584 0.149668 0.064248 465,467,574,407,406,471,498,532,474,528,493
585 0.100219 0.011284 423,578,532
588 0.144443 0.068264 524,536,582,474,580,581,435
592 0.122242 0.072787 584,583,581,467,407,536,474,435,528
596 0.126867 0.069453 536,584,585,582,532,435
600 0.203221 -1 536,435,592,588,596
602 0.098184 0.061400 540,477,580,565
603 0.142154 0.059820 469,581,543,540,477,482,408
604 0.148382 0.354186 582,447,382,393,540,471,546,477,395,394,388,497,492
605 0.137862 0.060047 474,540,549,477,588
606 0.096970 0.022275 469,583,543,477,486,408
607 0.139043 0.305293 584,469,406,465,543,471,546,477,498,493,408
608 0.138329 0.058488 407,543,592,469,477,474,467,549,408
609 0.098483 0.058994 423,585,546
610 0.147368 0.061150 549,546,596
611 0.096689 0.062269 549,600,435
614 0.116764 0.470789 605,604,540,477,603,602,553
618 0.164699 0.072184 607,606,469,603,608,553,543,477,408
622 0.149468 0.068867 604,607,546,610,609,553
626 0.155503 0.285463 605,611,610,549,608,553
630 0.125648 -1 622,618,626,614,553
