15416 0.032406 0.094286 0.127739 
15420 0.041276 0.058806 0.152045 15416
15424 0.051683 0.060902 0.120686 15416
15428 0.051403 0.059784 0.121733 15416
15432 0.041626 0.057200 0.337054 15416
15436 0.039600 0.055873 0.245283 15416
15440 0.039670 0.058876 0.153511 15416
15444 0.029054 0.055314 0.088140 15416
15448 0.029263 0.070470 0.089257 15416
15452 0.028914 0.060273 0.082622 15416
15456 0.029263 0.066349 0.081644 15416
15460 0.034851 0.052171 0.087581 15416
15464 0.027587 0.059784 0.103016 15416
15468 0.027937 0.048679 0.097918 15416
15472 0.027657 0.059295 0.101340 15416
15476 0.028775 0.054197 0.107486 15416
15480 0.028915 0.057270 0.092819 15416
15484 0.032057 0.056292 0.098197 15416
15488 0.026470 0.052241 0.088140 15416
15492 0.027308 0.071936 0.103435 15416
15499 0.019346 0.069911 0.041067 15420
15503 0.028775 0.058807 0.056851 15424,15499,15420
15507 0.024933 0.052730 0.117543 15499,15428
15511 0.027797 0.048680 0.096241 15432,15499
15515 0.034082 0.055244 0.092820 15436,15499
15519 0.028425 0.054825 0.113422 15499,15440
15523 0.028844 0.054266 0.083600 15444,15499
15527 0.027727 0.057270 0.087721 15499,15448
15531 0.028216 0.056292 0.089747 15452,15499
15535 0.027937 0.057689 0.086114 15499,15456
15539 0.033942 0.052730 0.078082 15460,15499
15543 0.027797 0.060342 0.096940 15499,15464
15547 0.026539 0.048609 0.086673 15468,15499
15551 0.026330 0.053848 0.084228 15472,15499
15555 0.026261 0.054336 0.085765 15476,15499
15559 0.025422 0.054756 0.099803 15480,15499
15563 0.038273 0.055245 0.093238 15499,15484
15567 0.028006 0.050635 0.089117 15488,15499
15571 0.028356 0.056292 0.096800 15499,15492
15578 0.018508 0.072006 0.039041 15503
15582 0.027797 0.069981 0.066977 15503,15578,15507
15586 0.030242 0.064394 0.102387 15511,15578
15590 0.027098 0.057270 0.102876 15578,15515
15594 0.033174 0.049657 0.085696 15519,15578
15598 0.027797 0.057270 0.093727 15578,15523
15602 0.028705 0.061321 0.089676 15578,15527
15606 0.029682 0.055803 0.103296 15578,15531
15610 0.028426 0.059853 0.097428 15535,15578
15614 0.027587 0.061391 0.085695 15578,15539
15618 0.033733 0.050285 0.079619 15578,15543
15622 0.027377 0.061391 0.081714 15547,15578
15626 0.027867 0.054755 0.091841 15578,15551
15630 0.026120 0.060831 0.106089 15555,15578
15634 0.027587 0.054826 0.087231 15578,15559
15638 0.028285 0.060762 0.091353 15578,15563
15642 0.032965 0.057829 0.088210 15578,15567
15646 0.026050 0.050705 0.102527 15571,15578
15653 0.017739 0.080317 0.051683 15582
15657 0.033873 0.061321 0.132349 15582,15586,15653
15661 0.025352 0.063835 0.086254 15590,15653
15665 0.028915 0.056781 0.091771 15653,15594
15669 0.028705 0.059155 0.093308 15598,15653
15673 0.032895 0.048261 0.105530 15602,15653
15677 0.025911 0.060343 0.082064 15653,15606
15681 0.026679 0.053708 0.097429 15610,15653
15685 0.027447 0.055244 0.081086 15653,15614
15689 0.028775 0.049727 0.083111 15618,15653
15693 0.028356 0.061321 0.098755 15653,15622
15697 0.034083 0.053219 0.088209 15626,15653
15701 0.031429 0.055245 0.088210 15630,15653
15705 0.027727 0.057829 0.088210 15634,15653
15709 0.029613 0.059365 0.082623 15638,15653
15713 0.028006 0.051682 0.092260 15653,15642
15717 0.028425 0.057339 0.098337 15646,15653
15724 0.023607 0.091212 0.043162 15657
15728 0.029193 0.058247 0.057759 15657,15661,15724
15732 0.026330 0.054197 0.061879 15665,15724
15736 0.027238 0.053778 0.059854 15669,15724
15740 0.025492 0.077383 0.054197 15724,15673
15744 0.028356 0.053219 0.061321 15677,15724
15748 0.025911 0.052800 0.058806 15681,15724
15752 0.032406 0.060343 0.055873 15685,15724
15756 0.028984 0.055733 0.049239 15689,15724
15760 0.027517 0.055803 0.052730 15693,15724
15764 0.028845 0.053149 0.068445 15697,15724
15768 0.028774 0.069492 0.050215 15701,15724
15772 0.026260 0.064254 0.059993 15705,15724
15776 0.034222 0.053777 0.056292 15709,15724
