1081 0.368971 0.185847 0.348647
1085 0.727746 0.193670 0.119708 1081
1089 0.733961 0.106927 0.141638 1081
1093 0.719225 0.085137 0.101409 1081
1097 0.720063 0.127111 0.101898 1081
1104 0.309118 0.064813 0.237810 1085
1108 0.610901 0.133257 0.135910 1104,1089
1112 0.634298 0.100921 0.106857 1104,1093
1116 0.590018 0.109581 0.108114 1104,1097
1123 0.289771 0.063904 0.233130 1108
1127 0.618025 0.133467 0.140380 1123,1112
1131 0.624800 0.117193 0.107486 1123,1116
1138 0.296407 0.066419 0.219860 1127
1142 0.577866 0.092191 0.091213 1131,1138
1149 0.297593 0.167339 0.334470 1142
1156 0.329511 0.120616 0.279993 1149
1160 0.661257 0.146248 0.122851 1142,1156,1138
1165 0.730888 0.094356 0.089187 1131,1156,1123,1127
1170 0.836628 0.079549 0.082063 1104,1156,1112,1108,1116
1175 0.895783 0.095822 0.083251 1085,1097,1081,1093,1156,1089
1183 0.430082 0.036946 0.168177 1160
1187 0.847873 0.109441 0.109511 1165,1183
1191 0.862329 0.090724 0.098267 1183,1170
1195 0.841238 0.100362 0.092400 1175,1183,1081
1202 0.455504 0.037505 0.187523 1187
1206 0.845777 0.116076 0.122641 1191,1202
1210 0.869593 0.095823 0.099314 1195,1081,1202
1217 0.451454 0.042184 0.178654 1206
1221 0.826990 0.069212 0.095123 1210,1217,1081
1228 0.437765 0.116635 0.278877 1081,1221
