3826 0.160635 0.144362 0.255409 
3830 0.388457 0.154769 0.175511 3826
3834 0.390063 0.122222 0.139543 3826
3838 0.381543 0.160634 0.143524 3826
3842 0.384336 0.134444 0.153092 3826
3846 0.326298 0.138844 0.135911 3826
3850 0.395930 0.131371 0.152044 3826
3854 0.444191 0.126133 0.100921 3826
3858 0.301784 0.095752 0.090724 3826
3862 0.326298 0.106508 0.099245 3826
3869 0.161194 0.043581 0.156026 3830
3873 0.366318 0.102387 0.094286 3834,3869
3877 0.300038 0.083600 0.126692 3869,3838
3881 0.294311 0.077035 0.100361 3869,3842
3885 0.311562 0.105391 0.099385 3869,3846
3889 0.277619 0.132209 0.104902 3869,3850
3893 0.318407 0.093378 0.078571 3869,3854
3897 0.310793 0.091283 0.086324 3869,3858
3901 0.308838 0.086673 0.102388 3862,3869
3908 0.179352 0.040508 0.137937 3834,3873
3912 0.303320 0.121105 0.119079 3834,3838,3908,3877
3916 0.292426 0.121175 0.101340 3834,3881,3842,3908
3920 0.297803 0.090235 0.085206 3834,3885,3908
3924 0.310584 0.088768 0.091771 3834,3889,3908,3850
3928 0.299409 0.099943 0.091283 3834,3893,3854,3908
3932 0.300387 0.100432 0.107276 3834,3908,3897
3936 0.363315 0.104482 0.099314 3834,3908,3901
3943 0.152952 0.041626 0.134724 3838,3912
3947 0.371695 0.128788 0.121664 3916,3943,3838,3842
3951 0.320781 0.096311 0.098685 3920,3943,3838
3955 0.312609 0.101759 0.106996 3943,3838,3850,3924
3959 0.307720 0.095752 0.101409 3928,3943,3838,3854
3963 0.283277 0.099384 0.097359 3943,3838,3932
3967 0.316940 0.117683 0.107905 3936,3943,3838
3974 0.141289 0.042045 0.131790 3842,3947
3978 0.301295 0.119220 0.127251 3951,3842,3974
3982 0.304228 0.095264 0.091701 3842,3850,3974,3955
3986 0.292705 0.092749 0.084089 3959,3842,3854,3974
3990 0.350184 0.108184 0.092330 3842,3974,3963
3994 0.277899 0.100851 0.085206 3967,3842,3974
4001 0.145967 0.047143 0.149879 3978
4005 0.340756 0.110070 0.120686 4001,3850,3982
4009 0.272940 0.091283 0.093727 4001,3986,3854
4013 0.285581 0.088210 0.086185 4001,3990
4017 0.284883 0.107626 0.098477 4001,3994
4024 0.138914 0.042673 0.145969 4005,3850
4028 0.291029 0.124597 0.102876 4009,4024,3854,3850
4032 0.281949 0.096731 0.090095 4013,4024,3850
4036 0.290051 0.103854 0.087162 4024,4017,3850
4043 0.144221 0.059016 0.134025 3854,4028
4047 0.278457 0.114120 0.128019 3854,4032,4043
4051 0.278666 0.097847 0.103016 3854,4036,4043
4058 0.143873 0.037574 0.149041 4047
4062 0.270914 0.073962 0.072496 4051,4058
4069 0.138565 0.122083 0.242349 4062
4076 0.148901 0.097708 0.217555 4069
4080 0.275315 0.055803 0.118241 4062,4076,4058
4085 0.283695 0.108463 0.094286 3854,4076,4047,4051,4043
4090 0.294590 0.089257 0.085137 4024,4032,3850,4036,4076,4028
4095 0.320013 0.088628 0.085626 4009,4013,4001,4076,4017,4005
4100 0.376654 0.080108 0.090654 4076,3842,3974,3978,3986,3994,3982,3990
4105 0.387689 0.092121 0.074451 3959,3943,3951,4076,3838,3955,3947,3967,3963
4110 0.389016 0.084648 0.088768 3834,3916,3920,3936,3912,3924,3928,4076,3908,3932
4115 0.382940 0.094775 0.084089 3885,3869,3873,3881,3901,4076,3889,3877,3893,3897
