350 0.949352 -1 -1 
351 2.084272 0.258972 0.450826 350
352 1.535669 0.104063 0.212386 350
353 1.567726 0.145131 0.333282 350
354 3.092361 0.137657 0.336634 350
357 1.135130 0.150508 0.128158 351
358 1.202526 0.147086 0.141987 352,351
359 0.938876 0.178025 0.192273 353,351
360 1.158666 0.081994 0.085555 354,351
363 0.788088 0.125644 0.155885 352
364 0.862190 0.091702 0.099384 353,352
365 0.874831 0.083949 0.107764 354,352
368 0.648546 0.116845 0.161543 353
369 1.811333 0.099943 0.096870 354,353
372 0.640095 0.110629 0.163219 354
375 1.553269 -1 -1 357
376 1.996412 0.256877 0.411645 375,358
377 1.896678 0.107206 0.198908 375,359
378 1.527708 0.126133 0.314356 375,360
381 0.764971 0.099454 0.103156 363,376
382 1.185276 0.111816 0.128647 364,377,376
383 0.934756 0.092819 0.082483 378,365,376
386 1.197219 0.130254 0.127041 368,377
387 0.840399 0.092819 0.089676 378,377,369
390 1.139250 0.090096 0.081435 378,372
393 0.616069 -1 -1 381
394 2.998425 0.250172 0.421772 393,382
395 2.880044 0.106717 0.214972 393,383
398 1.067942 0.124178 0.112794 386,394
399 0.925816 0.118940 0.120965 387,395,394
402 0.761898 0.122572 0.130324 390,395
405 0.693803 -1 -1 398
406 2.725694 0.250032 0.424495 405,399
409 1.151124 0.118940 0.133815 406,402
412 0.627174 -1 -1 409
415 0.114470 0.044000 0.081435 350
418 0.119010 0.109721 0.127670 415,351
421 0.201213 0.086603 0.083041 415,352
424 0.172578 0.097917 0.095053 415,353
427 0.123689 0.040438 0.041974 415,354
432 0.051822 0.047631 0.079480 418,375
435 0.168039 0.062508 0.131720 421,432,376
438 0.112724 0.047702 0.109231 432,424,377
441 0.099314 0.058457 0.048191 378,432,427
446 0.066140 0.091213 0.083531 393,435
449 0.146737 0.086534 0.087651 446,438,394
452 0.120546 0.046165 0.054755 441,446,395
457 0.110908 0.109721 0.113841 405,449
460 0.135562 0.085346 0.077943 406,452,457
465 0.065930 0.099942 0.190597 460,412
470 0.083530 0.092261 0.154209 465,412
473 0.108115 0.116356 0.133327 406,470,460,457
477 0.105390 0.090724 0.109510 452,470,449,395,446
481 0.141499 0.098826 0.101968 378,470,438,441,435,432
485 0.186197 0.099035 0.087650 415,470,354,421,418,424,427
491 0.051683 0.044070 0.057899 473,405
494 0.130184 0.121943 0.123060 477,491,394
497 0.128788 0.092750 0.099384 481,491,377
500 0.118940 0.099453 0.104831 415,485,353,491
505 0.052869 0.045606 0.052242 393,494
508 0.183892 0.128159 0.122013 497,505,376
511 0.132489 0.085625 0.088698 415,505,352,500
516 0.063346 0.042533 0.049168 375,508
519 0.104622 0.071238 0.084089 511,415,351,516
524 0.062229 0.084578 0.157841 519,415,350
