350 8.054721 -1 -1 
351 19.509244 1.651886 3.107447 350
352 19.553385 1.401295 2.833460 350
353 19.720026 1.511155 2.933333 350
354 19.963422 1.527568 2.953726 350
357 13.260618 0.326508 0.717409 351
358 22.579187 0.616419 1.242545 352,351
359 22.366800 0.605733 1.331942 353,351
360 22.638482 0.611390 13.588453 354,351
363 13.194060 0.557473 0.164755 352
364 22.401162 0.615720 1.333409 353,352
365 22.532952 0.615510 0.094915 354,352
368 13.070371 0.462977 0.869943 353
369 22.440691 0.609574 1.185206 354,353
372 12.987889 0.459485 0.858348 354
375 8.370194 -1 -1 357
376 19.922845 1.623041 3.031808 375,358
377 19.972851 1.409256 2.806361 375,359
378 19.836171 1.489575 2.910215 375,360
381 13.087133 0.321620 0.718177 363,376
382 22.237314 0.501041 1.304286 364,377,376
383 22.390406 0.635696 1.346888 378,365,376
386 13.121774 0.162870 0.150717 368,377
387 22.322450 0.659790 1.474349 378,377,369
390 13.063456 0.463118 0.904374 378,372
393 8.211794 -1 -1 381
394 19.363626 1.623530 3.071758 393,382
395 19.272344 13.158370 2.810691 393,383
398 12.602295 0.123130 0.799682 386,394
399 21.275460 0.556355 1.383346 387,395,394
402 12.449901 0.412762 0.123689 390,395
405 8.045712 -1 -1 398
406 18.962527 1.617454 3.034812 405,399
409 11.856111 0.383847 0.872387 406,402
412 7.771026 -1 -1 409
415 0.443212 0.105042 0.309257 350
418 0.865263 0.112235 0.131721 415,351
421 0.861282 0.084019 0.084089 415,352
424 0.867708 0.092679 0.091771 415,353
427 0.848711 0.046095 0.082064 415,354
432 0.441815 0.093727 0.287537 418,375
435 0.854228 0.117892 0.110628 421,432,376
438 0.834113 0.080457 0.082902 432,424,377
441 0.886984 0.045117 0.043581 378,432,427
446 0.440489 0.098407 0.311213 393,435
449 0.786482 0.086045 0.095264 446,438,394
452 0.821892 0.038971 0.037854 441,446,395
457 0.410317 0.124317 0.205193 405,449
460 0.762806 0.072845 0.071238 406,452,457
465 0.400330 0.208057 0.406196 460,412
470 0.409131 0.134305 0.345854 465,412
473 0.936572 0.109720 0.118870 406,470,460,457
477 1.521492 0.108113 0.096660 452,470,449,395,446
481 1.538532 0.084159 0.090654 378,470,438,441,435,432
485 1.547263 0.097848 0.094286 415,470,354,421,418,424,427
491 0.787111 0.037365 0.244933 473,405
494 1.426368 0.103575 0.102527 477,491,394
497 1.443828 0.081505 0.092679 481,491,377
500 1.431397 0.097289 0.091213 485,353,491
505 0.728444 0.033314 0.245003 393,494
508 1.413168 0.105111 0.113213 497,505,376
511 1.401784 0.104553 0.105110 505,352,500
516 0.730469 0.042045 0.234317 375,508
519 1.386349 0.074311 0.105111 511,351,516
524 0.729073 0.136330 0.342780 519,350
