350 1.887669 -1 -1 
351 5.393211 0.451594 0.834464 350
352 6.871191 0.230057 0.581428 350
353 7.116893 0.340546 0.729771 350
354 4.204792 0.306603 0.723555 350
357 2.084692 0.122641 0.119428 351
358 3.410698 0.148203 0.153302 352,351
359 5.447827 0.180609 0.182426 353,351
360 3.454837 0.100991 0.231803 354,351
363 2.569949 0.165175 0.221746 352
364 3.425294 0.116565 0.256527 353,352
365 5.204500 0.091212 0.252755 354,352
368 2.552558 0.173486 0.214483 353
369 4.114697 0.091282 0.248006 354,353
372 2.070584 0.167758 0.216578 354
375 1.779695 -1 -1 357
376 4.240621 0.432178 0.814070 375,358
377 4.174062 0.201352 0.572978 375,359
378 4.149129 0.313727 0.701695 375,360
381 2.080990 0.116146 0.110838 363,376
382 3.978577 0.115098 0.126133 364,377,376
383 5.130678 0.088140 0.246121 378,365,376
386 2.087485 0.129905 0.137378 368,377
387 3.374240 0.086114 0.239276 378,377,369
390 3.129586 0.085626 0.115867 378,372
393 2.833529 -1 -1 381
394 4.175320 0.438254 0.804711 393,382
395 4.111764 0.221257 0.590089 393,383
398 3.046545 0.124387 0.128786 386,394
399 3.304469 0.113771 0.165105 387,395,394
402 2.408126 0.124178 0.126622 390,395
405 1.810285 -1 -1 398
406 5.957598 0.446984 0.809111 405,399
409 2.020088 0.110698 0.117822 406,402
412 2.668076 -1 -1 409
415 0.153791 0.089118 0.165034 350
418 0.286419 0.132628 0.115308 415,351
421 0.215321 0.089118 0.092820 415,352
424 0.327067 0.094286 0.087162 415,353
427 0.241581 0.044140 0.045118 415,354
432 0.176769 0.039949 0.153721 418,375
435 0.238088 0.132907 0.110209 421,432,376
438 0.237950 0.097428 0.086673 432,424,377
441 0.369041 0.044070 0.046584 378,432,427
446 0.123480 0.096870 0.160495 393,435
449 0.232502 0.119428 0.087650 446,438,394
452 0.234946 0.053778 0.051193 441,446,395
457 0.149530 0.112026 0.121105 405,449
460 0.272171 0.080597 0.071727 406,452,457
465 0.127810 0.133188 0.255270 460,412
470 0.147365 0.103504 0.209594 465,412
473 0.355074 0.111746 0.117892 406,470,460,457
477 0.358495 0.101689 0.082552 452,470,449,395,446
481 0.354514 0.087092 0.089187 378,470,438,441,435,432
485 0.387060 0.091213 0.075917 415,470,354,421,418,424,427
491 0.129695 0.040019 0.129206 473,405
494 0.274755 0.052800 0.141009 477,491,394
497 0.295708 0.109162 0.085067 481,491,377
500 0.394602 0.101898 0.091701 485,353,491
505 0.198908 0.045048 0.118311 393,494
508 0.383150 0.100431 0.110210 497,505,376
511 0.391460 0.087651 0.093448 505,352,500
516 0.195486 0.034851 0.101968 375,508
519 0.457041 0.073823 0.072845 511,351,516
524 0.195975 0.100431 0.210711 519,350
