350 0.272870 -1 -1 
351 0.274477 0.103994 0.149111 350
352 0.326299 0.092819 0.089676 350
353 0.434623 0.101549 0.110698 350
354 0.393277 0.083530 0.075359 350
357 0.167968 0.159657 0.158888 351
358 0.208267 0.152743 0.141010 352,351
359 0.191714 0.183962 0.165105 353,351
360 0.135841 0.102945 0.084019 354,351
363 0.100641 0.131720 0.124457 352
364 0.126063 0.080946 0.073753 353,352
365 0.177118 0.088140 0.081435 354,352
368 0.122152 0.134514 0.108603 353
369 0.177117 0.085555 0.109092 354,353
372 0.094216 0.117333 0.104622 354
375 0.589740 -1 -1 357
376 0.373721 0.116775 0.141848 375,358
377 0.483860 0.119918 0.108673 375,359
378 0.297524 0.101480 0.086044 375,360
381 0.108393 0.125155 0.109721 363,376
382 0.197511 0.125086 0.113282 364,377,376
383 0.203727 0.099943 0.090235 378,365,376
386 0.114120 0.107625 0.127111 368,377
387 0.147155 0.095892 0.092750 378,377,369
390 0.149600 0.077454 0.085626 378,372
393 0.446634 -1 -1 381
394 0.415486 0.103994 0.141988 393,382
395 0.447962 0.114330 0.125086 393,383
398 0.096870 0.115308 0.107695 386,394
399 0.188361 0.116355 0.110769 387,395,394
402 0.077244 0.113353 0.130673 390,395
405 0.245422 -1 -1 398
406 0.259041 0.116844 0.145619 405,399
409 0.150298 0.122501 0.104552 406,402
412 0.144851 -1 -1 409
415 0.039251 0.041486 0.039461 350
418 0.065022 0.059435 0.127111 415,351
421 0.058318 0.058736 0.096380 415,352
424 0.047003 0.050215 0.076336 415,353
427 0.058387 0.050775 0.055873 415,354
432 0.032477 0.042534 0.042533 418,375
435 0.035619 0.059924 0.115308 421,418,432,376
438 0.062717 0.057340 0.088139 418,432,424,377
441 0.041835 0.051752 0.043022 378,432,427,418
446 0.024096 0.100990 0.092330 393,421,435
449 0.041625 0.089676 0.097429 421,424,446,438,394
452 0.055175 0.042044 0.048191 421,441,446,395,427
457 0.032825 0.111257 0.115308 405,449,424
460 0.037016 0.081016 0.088140 406,452,424,427,457
465 0.037714 0.080457 0.126133 460,412,427
470 0.022419 0.074800 0.103435 465,427,412
473 0.038832 0.060483 0.118870 406,470,457,424,427,460
477 0.058736 0.053847 0.090724 470,395,421,452,446,427,449
481 0.029893 0.057409 0.092539 432,441,378,470,438,435,418,427
485 0.056361 0.047632 0.095333 415,470,354,421,418,424,427
491 0.033524 0.071308 0.033873 473,405,424
494 0.037785 0.050215 0.097429 421,424,477,491,394
497 0.035060 0.050775 0.084019 481,432,491,377,424
500 0.038483 0.061460 0.086673 424,415,353,421,485,418,491,427
505 0.033175 0.061530 0.035340 393,494,421
508 0.034501 0.058458 0.093797 421,505,432,497,376
511 0.046584 0.049727 0.051264 415,352,421,505,418,424,500,427
516 0.023676 0.056921 0.096312 432,375,508
519 0.046515 0.065930 0.076406 415,418,421,351,511,432,424,427,516
524 0.022559 0.067118 0.092120 519,415,350,421,418,424,427
