205,180
209,205 200
207,205 180 190
206,205 180 185
208,205 180 195
210,205 181
212,207 210 181 191
213,208 210 181 196
211,206 185 210 181 186
214,209 210 181 201
215,205 182
219,209 215 182 202
216,206 215 182 187
218,208 215 182 197
217,207 215 182 192
220,205 183
222,207 220 183 193
221,206 220 183 188
223,208 220 183 198
224,209 220 183 203
225,205 184
227,207 225 184 194
228,208 225 184 199
230,211
226,206 225 184 189
229,209 225 184 204
233,230 214
232,230 211 213
231,230 211 212
234,230 216
235,231 212 234 216 217
237,233 234 216 219
236,232 234 216 218
238,230 221
240,232 238 221 223
239,231 238 221 222
241,233 238 221 224
242,230 226
243,231 242 226 227
244,232 242 226 228
245,233 242 226 229
246,235
248,246 235 237
247,246 235 236
252,246 243
249,246 235 239
254,248 252 243 245
253,247 236 252 243 244
250,247 236 249 239 240
251,248 237 249 239 241
255,250 240
256,255 240 251 241
257,255 240 253 244
258,256 241 257 244 254 245
259,258 254
261,205
260,261
263,206
262,263
265,207
264,265
267,208
266,267
269,209
268,269
271,210
270,271
273,230
272,273
275,231
274,275
277,232
276,277
279,233
278,279
281,215
280,281
283,234
282,283
285,246
284,285
287,247
286,287
289,248
288,289
291,220
290,291
293,238
292,293
295,249
294,295
297,255
296,297
299,256
298,299
301,225
300,301
303,242
302,303
305,252
304,305
307,257
306,307
309,259
308,309
